Category,Quantity,References,Value,Stock Code,Unit Cost,Description,Group Layer,PCB Package,Supplier,Placed
Capacitors,1,C5,200p,Maplin WX60Q,,220p Ceramic Capacitor,Audio,CAP20,,Top Copper
Resistors,18,"R1,R2,R4,R6,R8,R10,R12,R14,R16,R18,R19,R21,R23,R25,R27,R29,R31,R33",442,,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,14,"R3,R5,R7,R9,R11,R13,R15,R20,R22,R24,R26,R28,R30,R32",221,,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,2,"R40,R41",220,,,Generic resistor symbol,Audio,RES40,,Top Copper
Integrated Circuits,1,U1,74HC138,,,3-Line to 8-Line Decoders/Demultiplexers,Audio,DIL16,,Not placed
Integrated Circuits,2,"U2,U85",74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio,DIL20,,Top Copper
Integrated Circuits,4,"U3,U125,U166,U207",7404,,,Hex Inverters,Audio,DIL14,,Not placed
Integrated Circuits,24,"U4,U6,U9,U14,U15,U77,U78,U79,U80,U116,U117,U118,U119,U122,U157,U158,U159,U160,U163,U198,U199,U200,U201,U204",74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio,DIL20,,Not placed
Integrated Circuits,1,U7,74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,,3-Line to 8-Line Decoders/Demultiplexers,Audio,DIL16,,Not placed
Integrated Circuits,5,"U8,U19,U20,U26,U72",74154,,,4-to-16 Line Decoder/Demultiplexer,Audio,DIL24,,Not placed
Integrated Circuits,25,"U10,U11,U12,U13,U16,U18,U21,U89,U90,U99,U100,U101,U102,U131,U132,U140,U141,U142,U143,U172,U173,U181,U182,U183,U184",74273,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NE4?qs=sGAEpiMZZMvxP%252Bvr8KwMwF73%2FSEETFlcw32YC66%252Bjxg%3D,S$0.90,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Audio,DIL20,,Not placed
