Category,References,Value,Stock Code,Unit Cost,Description
Capacitors,C5,200p,Maplin WX60Q,,220p Ceramic Capacitor
Resistors,R1,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R2,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R3,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R4,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R5,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R6,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R7,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R8,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R9,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R10,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R11,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R12,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R13,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R14,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R15,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R16,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,R21,220,,,Generic resistor symbol
Resistors,R22,220,,,Generic resistor symbol
Resistors,R104,100,,,Generic resistor symbol
Resistors,R105,470,,,Generic resistor symbol
Integrated Circuits,U1,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers
Integrated Circuits,U2,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers
Integrated Circuits,U3,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers
Integrated Circuits,U4,74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,S$0.90,Quadruple 1-of-2 Data Selectors/Multiplexers
