Category,Quantity,References,Value,Stock Code,Unit Cost,Description
Capacitors,1,C5,200p,Maplin WX60Q,,220p Ceramic Capacitor
Resistors,16,R1-R16,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor
Resistors,2,R17-R18,PULLDOWN,,,Digital Primitive Model Of A Pull-Down Resistor
Resistors,2,R21-R22,220,,,Generic resistor symbol
Resistors,1,R104,100,,,Generic resistor symbol
Resistors,1,R105,470,,,Generic resistor symbol
Integrated Circuits,1,U1,74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161AN?qs=sGAEpiMZZMtdY2G%252BSI3N4ULNIy7IUD05%2FJSW%252B139gsI%3D,,Synchronous 4-Bit Binary Counters
Integrated Circuits,1,U2,OR,,,Simple 2 Input OR Gate
Integrated Circuits,1,U3,74S139,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139AN?qs=sGAEpiMZZMtxONTBFIcRfpKvrGTByBdi%2FBZhV6RAyCA%3D,,Dual 2-Line to 4-Line Decoders/Demultiplexers
Integrated Circuits,1,U4,AND,,,Simple Two Input AND Gate
Integrated Circuits,1,U5,7404,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04NE4?qs=sGAEpiMZZMutVWjHE%2FYQw8FcJMyir0Lqzet%252BOgibJRs%3D,,Hex Inverters
Integrated Circuits,1,U7,NOT,,,Simple Digital Inverter
Miscellaneous,15,"1A,1B,1D,2E,5N7,6D2,6F2,6F6,6H6,6J6,6K6,6M,6T,7F,7H",74157,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS157NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0cMjAQzUGo2HI%3D,£0.90,Quadruple 1-of-2 Data Selectors/Multiplexers
Miscellaneous,2,"1C,5M8",7427,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS27N?qs=sGAEpiMZZMutXGli8Ay4kP28D9wZ8SQIwsPDjIqEADE%3D,£0.81,Triple 3-Input Positive NOR Gates
Miscellaneous,2,"1S,4N",7410,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS10N?qs=sGAEpiMZZMutXGli8Ay4kBELecaPbA6BixFJp4A71TE%3D,£0.87,Triple 3-Input Positive-NAND Gates
Miscellaneous,5,"1T,7A,7C,8C2,8C6",7408,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS08NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOfW4A%252BAFGoNk%3D,£0.72,Quadruple 2-Input Positive-AND Gates
Miscellaneous,5,"2A,2B,2C,2D,7N",74175,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS175NE4?qs=sGAEpiMZZMvxP%252Bvr8KwMwF73%2FSEETFlc4u4AUFSUKKQ%3D,£0.90,Quadruple D-Type Positive-Edge-Triggered Flip-Flops With Clear
Miscellaneous,4,"2F,3L6,7B2,7C2",74LS245,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS245NE4?qs=sGAEpiMZZMs9F6aVvY09bhwfQrNqig7qIcn1fgzui%2FY%3D,£0.89,Octal Bus Transceivers With Tristate Outputs
Miscellaneous,13,"2N,2P,2R,4H,5A,5B,5C,5D,5R7,5T,6H,6P6,6R7",74LS86,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS86ANE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOhAIPhWJxBPY%3D,£1.02,Quadruple 2-Input Exclusive-OR Gates
Miscellaneous,1,2R6,7420,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS20N?qs=sGAEpiMZZMtMa9lbYwD6ZOuZLcSXNpUa3nM3MdnqdeQ%3D,£0.77,Dual 4-Input Positive-NAND Gates
Miscellaneous,3,"2S,3M,7R",74S139,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139AN?qs=sGAEpiMZZMtxONTBFIcRfpKvrGTByBdi%2FBZhV6RAyCA%3D,£0.93,Dual 2-Line to 4-Line Decoders/Demultiplexers
Miscellaneous,2,"2T,4R",7404,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04NE4?qs=sGAEpiMZZMutVWjHE%2FYQw8FcJMyir0Lqzet%252BOgibJRs%3D,£0.72,Hex Inverters
