Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSP6,09021646921,TOP,-90,-534.487,-130.81
VIDEOP6,09021646921,TOP,-90,-534.487,-233.68
BANKSEL3,CONN-SIL2,TOP,-180,-521.97,-82.55
PIXEL6,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-502.92,-83.82
DSW7,SW-DIP8,TOP,270,-520.319,-100.33
DSW10,SW-DIP2,TOP,-90,-519.43,-210.82
OSC1,SQRWIDOSCDIL14,TOP,90,-519.43,-224.79
U365,SOP80P1176X120-44,TOP,0,-483.25,-179.47
C2,CAPC1005X55N,TOP,-90,-476.199,-179.476
C1,CAPC1005X55N,TOP,-270,-490.322,-179.476
U590,DIL28CAP20,TOP,0,-393.827,-177.673
U589,DIL28CAP20,TOP,0,-393.827,-199.263
U313,DIL24NARCAP20,TOP,0,-429.387,-222.123
U386,DIL24NARCAP20,TOP,0,-429.387,-234.823
U494,SOIC127P1412X300-32N,TOP,0,-482.6,-148.59
U495,SOIC127P1412X300-32N,TOP,0,-482.6,-120.65
C4,CAPC1005X55N,TOP,0,-475.917,-137.541
C6,CAPC1005X55N,TOP,0,-475.917,-109.474
U419,SOIC127P600X175-14N-CAP,TOP,0,-506.545,-210.088
U317,SOIC127P1030X265-20N-CAP,TOP,180,-466.999,-178.024
U371,SOIC127P1030X265-20N-CAP,TOP,90,-503.144,-178.16
U378,SOIC127P1030X265-20N-CAP,TOP,180,-477.159,-198.344
U329,SOIC127P1030X265-20N-CAP,TOP,180,-466.999,-137.384
U415,SOIC127P1030X265-20N-CAP,TOP,0,-493.121,-208.056
U541,SOIC127P1030X265-20N-CAP,TOP,180,-451.759,-137.384
U553,SOIC127P1030X265-20N-CAP,TOP,270,-365.536,-192.68
U554,SOIC127P1030X265-20N-CAP,TOP,180,-350.159,-188.184
U558,SOIC127P1030X265-20N-CAP,TOP,270,-462.056,-197.76
U574,SOIC127P1030X265-20N-CAP,TOP,270,-462.056,-223.16
U301,SOIC127P780X200-20N-CAP,TOP,270,-451.909,-186.44
U311,SOIC127P780X200-20N-CAP,TOP,270,-482.389,-100.08
U321,SOIC127P780X200-20N-CAP,TOP,270,-451.909,-176.28
U322,SOIC127P780X200-20N-CAP,TOP,270,-451.909,-150.88
U323,SOIC127P780X200-20N-CAP,TOP,0,-438.399,-147.108
U324,SOIC127P780X200-20N-CAP,TOP,0,-438.399,-126.788
U325,SOIC127P780X200-20N-CAP,TOP,270,-441.749,-196.6
U326,SOIC127P780X200-20N-CAP,TOP,0,-438.399,-182.668
U327,SOIC127P780X200-20N-CAP,TOP,90,-452.331,-123.44
U328,SOIC127P780X200-20N-CAP,TOP,0,-468.879,-121.708
U341,SOIC127P780X200-20N-CAP,TOP,90,-421.851,-179.32
U351,SOIC127P780X200-20N-CAP,TOP,180,-455.681,-106.892
U352,SOIC127P780X200-20N-CAP,TOP,180,-445.521,-106.892
U370,SOIC127P780X200-20N-CAP,TOP,180,-465.841,-101.812
U373,SOIC127P780X200-20N-CAP,TOP,270,-502.709,-100.08
U380,SOIC127P780X200-20N-CAP,TOP,90,-421.851,-189.48
U503,SOIC127P780X200-20N-CAP,TOP,180,-516.641,-178.012
U505,SOIC127P780X200-20N-CAP,TOP,90,-503.131,-189.48
U506,SOIC127P780X200-20N-CAP,TOP,180,-516.641,-198.332
U507,SOIC127P780X200-20N-CAP,TOP,0,-499.359,-121.708
U508,SOIC127P780X200-20N-CAP,TOP,0,-504.439,-147.108
U509,SOIC127P780X200-20N-CAP,TOP,90,-513.291,-123.44
U510,SOIC127P780X200-20N-CAP,TOP,90,-513.291,-133.6
U511,SOIC127P780X200-20N-CAP,TOP,0,-514.599,-147.108
U516,SOIC127P780X200-20N-CAP,TOP,270,-421.429,-201.68
U517,SOIC127P780X200-20N-CAP,TOP,90,-452.331,-92.9599
U518,SOIC127P780X200-20N-CAP,TOP,90,-432.011,-113.28
U521,SOIC127P780X200-20N-CAP,TOP,270,-365.549,-181.36
U568,SOIC127P780X200-20N-CAP,TOP,90,-432.011,-103.12
U569,SOIC127P780X200-20N-CAP,TOP,90,-432.011,-92.9599
U570,SOIC127P780X200-20N-CAP,TOP,90,-457.411,-235.2
U573,SOIC127P780X200-20N-CAP,TOP,90,-503.131,-225.04
U577,SOIC127P780X200-20N-CAP,TOP,90,-503.131,-235.2
U585,SOIC127P780X200-20N-CAP,TOP,180,-409.961,-147.532
U588,SOIC127P780X200-20N-CAP,TOP,180,-409.961,-106.892
U596,SOIC127P600X175-14N-CAP,TOP,90,-504.922,-109.035
U292,SOIC127P600X175-16N-CAP,TOP,180,-495.47,-148.687
U295,SOIC127P600X175-16N-CAP,TOP,90,-397.607,-109.05
U296,SOIC127P600X175-16N-CAP,TOP,180,-398.95,-97.887
U297,SOIC127P600X175-16N-CAP,TOP,90,-397.607,-119.21
U298,SOIC127P600X175-16N-CAP,TOP,90,-478.887,-210.65
U302,SOIC127P600X175-16N-CAP,TOP,180,-398.95,-143.607
U303,SOIC127P600X175-16N-CAP,TOP,180,-429.43,-143.607
U304,SOIC127P600X175-16N-CAP,TOP,90,-397.607,-129.37
U305,SOIC127P600X175-16N-CAP,TOP,180,-388.79,-143.607
U306,SOIC127P600X175-16N-CAP,TOP,180,-475.15,-224.887
U307,SOIC127P600X175-16N-CAP,TOP,0,-429.09,-130.713
U493,SOIC127P600X175-16N-CAP,TOP,0,-408.77,-130.713
U535,SOIC127P600X175-16N-CAP,TOP,90,-382.367,-119.21
U536,SOIC127P600X175-16N-CAP,TOP,180,-388.79,-97.887
U537,SOIC127P600X175-16N-CAP,TOP,0,-383.37,-130.713
U309,SOIC127P600X175-16N-CAP,TOP,90,-382.367,-109.05
U310,SOIC127P600X175-16N-CAP,TOP,180,-485.31,-224.887
