Part ID,Package,Layer,Rotation,X,Y
USER BUS,TST-110-XX-Y-D,TOP,0,-1.27,-67.945
POWER 5V,163179PHEX,TOP,-270,58.2399,-65.7949
JP1,872242,TOP,-90,43.18,-69.215
U6,SOIC127P600X175-8N,TOP,0,25.4,-57.785
C3,CAPC1005X55N,TOP,90,21.13,-57.658
U20,SOP80P1176X120-44,TOP,0,-0.015,-4.21
C1,CAPC1005X55N,TOP,-90,7.112,-4.318
C2,CAPC1005X55N,TOP,90,-7.239,-4.318
U21,SOP80P1176X120-44,TOP,0,20.305,-4.21
C4,CAPC1005X55N,TOP,-90,27.432,-4.318
C5,CAPC1005X55N,TOP,-270,13.081,-4.318
D204,LED,TOP,-90,27.94,-69.215
R208,RES40,TOP,0,27.94,-64.135
J1,TSW-105-XX-YY-D,TOP,0,-8.255,52.705
J2,TSW-105-XX-YY-D,TOP,0,8.255,52.705
J3,TSW-105-XX-YY-D,TOP,0,24.765,52.705
J4,TSW-105-XX-YY-D,TOP,0,41.275,52.705
J5,TSW-105-XX-YY-D,TOP,0,57.785,52.705
USER1,TST-107-XX-Y-D,TOP,-180,-33.02,59.055
OSC1,SQRWIDOSCDIL14,TOP,0,-41.1899,-74.0499
U54,UM245R,TOP,0,85.09,-63.5
J6,TSW-105-XX-YY-D,TOP,0,79.375,52.705
J7,TSW-105-XX-YY-D,TOP,0,97.155,52.705
U1,SOIC127P1030X265-20N-CAP,TOP,0,-1.63,-30.256
U53,SOIC127P1030X265-20N-CAP,TOP,0,11.07,-30.256
U70,SOIC127P1030X265-20N-CAP,TOP,0,45.3601,29.434
U3,SOIC127P600X175-16N-CAP,TOP,0,26.8399,31.847
U69,SOIC127P600X175-16N-CAP,TOP,180,55.7101,31.653
U5,SOIC127P780X200-20N-CAP,TOP,270,23.0715,18.03
U22,SOIC127P600X175-16N-CAP,TOP,270,1.367,-42.0799
U23,SOIC127P600X175-16N-CAP,TOP,180,21.42,-28.037
U24,SOIC127P600X175-16N-CAP,TOP,0,19.22,31.847
U25,SOIC127P600X175-16N-CAP,TOP,180,21.42,-42.007
U30,SOIC127P780X200-20N-CAP,TOP,0,9.90999,23.0715
U31,SOIC127P780X200-20N-CAP,TOP,90,-2.75151,16.26
U32,SOIC127P780X200-20N-CAP,TOP,90,-2.75151,26.4201
U60,SOIC127P780X200-20N-CAP,TOP,180,67.5599,-43.3916
U2,SOIC127P600X175-16N-CAP,TOP,90,58.323,20.49
U68,SOIC127P600X175-16N-CAP,TOP,0,64.9399,31.847
U8,SOIC127P600X175-16N-CAP,TOP,0,72.5599,31.847
U12,SOIC127P600X175-16N-CAP,TOP,180,41.7401,1.173
U13,SOIC127P600X175-16N-CAP,TOP,270,43.277,17.61
U14,SOIC127P600X175-16N-CAP,TOP,270,43.277,-10.33
U15,SOIC127P600X175-16N-CAP,TOP,0,50.9699,0.0970001
U16,SOIC127P600X175-16N-CAP,TOP,0,59.8599,0.0970001
U18,SOIC127P600X175-14N-CAP,TOP,0,68.7649,18.512
U17,SOIC127P600X175-16N-CAP,TOP,270,57.247,-10.33
U26,SOIC127P600X175-16N-CAP,TOP,180,13.8,-44.547
U28,SOIC127P600X175-16N-CAP,TOP,270,78.837,17.61
U29,SOIC127P600X175-16N-CAP,TOP,270,82.647,26.5001
U33,SOIC127P600X175-16N-CAP,TOP,0,-21.42,19.147
U39,SOIC127P600X175-16N-CAP,TOP,90,-22.957,1.44
U34,SOIC127P600X175-16N-CAP,TOP,0,-29.0401,19.147
U40,SOIC127P600X175-16N-CAP,TOP,0,-21.42,-10.063
U35,SOIC127P600X175-16N-CAP,TOP,180,-30.6499,-8.987
U41,SOIC127P600X175-16N-CAP,TOP,90,-22.957,-25.23
U36,SOIC127P600X175-16N-CAP,TOP,180,-38.2699,-8.987
U42,SOIC127P600X175-16N-CAP,TOP,90,-22.957,-32.8501
U37,SOIC127P600X175-16N-CAP,TOP,90,-22.957,30.6499
U43,SOIC127P600X175-16N-CAP,TOP,90,-22.957,-40.4701
U38,SOIC127P600X175-16N-CAP,TOP,180,41.7401,-28.037
U44,SOIC127P600X175-16N-CAP,TOP,180,49.3601,-28.037
U46,SOIC127P600X175-16N-CAP,TOP,0,67.4799,0.0970001
U47,SOIC127P600X175-16N-CAP,TOP,0,59.8599,-27.843
U48,SOIC127P600X175-16N-CAP,TOP,0,75.0999,0.0970001
U49,SOIC127P600X175-16N-CAP,TOP,90,71.023,-25.23
U51,SOIC127P600X175-16N-CAP,TOP,270,50.897,-42.0799
U52,SOIC127P600X175-16N-CAP,TOP,0,72.5599,-15.143
U58,SOIC127P600X175-16N-CAP,TOP,180,83.6501,1.173
U62,SOIC127P600X175-14N-CAP,TOP,90,84.358,-12.515
U59,SOIC127P600X175-16N-CAP,TOP,180,83.6501,-22.957
U61,SOIC127P600X175-16N-CAP,TOP,90,84.993,-34.1201
U63,SOIC127P600X175-16N-CAP,TOP,90,84.993,34.4599
U64,SOIC127P600X175-16N-CAP,TOP,0,95.4199,31.847
U65,SOIC127P600X175-16N-CAP,TOP,0,94.1499,17.877
U66,SOIC127P600X175-16N-CAP,TOP,90,105.313,20.49
U4,SOIC127P600X175-14N-CAP,TOP,0,94.1649,0.732
U71,SOIC127P600X175-14N-CAP,TOP,90,104.678,11.615
U7,SOIC127P600X175-14N-CAP,TOP,0,40.8249,-44.988
U9,SOIC127P600X175-14N-CAP,TOP,90,105.948,29.3949
U10,SOIC127P600X175-14N-CAP,TOP,270,95.982,-9.07499
U27,SOIC127P600X175-14N-CAP,TOP,270,103.602,3.62501
U67,SOIC127P600X175-14N-CAP,TOP,0,94.1649,-19.588
U45,SOIC127P600X175-14N-CAP,TOP,180,95.0651,-32.482
U50,SOIC127P600X175-14N-CAP,TOP,180,102.685,-23.592
