Category,Quantity,References,Value,Stock Code,Description,PCB Package,Placed
Capacitors,1,C3,CL05B104KO5NNNC,https://www.mouser.sg/ProductDetail/Samsung-Electro-Mechanics/CL05B104KO5NNNC?qs=hqM3L16%252BxlfT2SKOuAUq6Q%3D%3D,Samsung Electro-Mechanics CL05B104KO5NNNC 100nF Multilayer Ceramic Capacitor MLCC 16V dc +/-10% Tolerance SMD,CAPC1005X55N,Top Copper
Capacitors,1,C5,200p,https://www.mouser.sg/ProductDetail/Vishay-Cera-Mite/562R10TST20?qs=1Vd4QiMLiWEhnW3IqIibiA==,220p Ceramic Capacitor,CAP20,Top Copper
Capacitors,3,"C11,C12,C13",CL05B104KO5NNNC,https://www.mouser.sg/ProductDetail/Samsung-Electro-Mechanics/CL05B104KO5NNNC?qs=hqM3L16%252BxlfT2SKOuAUq6Q%3D%3D,Samsung Electro-Mechanics CL05B104KO5NNNC 100nF Multilayer Ceramic Capacitor MLCC 16V dc +/-10% Tolerance SMD,CAPC1005X55N,Top Copper
Resistors,15,"R17,R19,R39,R41,R43,R45,R52,R54,R56,R62,R64,R66,R72,R74,R76",221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,Generic resistor symbol,RES40,Top Copper
Resistors,21,"R18,R20,R40,R42,R44,R46,R50,R51,R53,R55,R57,R60,R61,R63,R65,R67,R70,R71,R73,R75,R77",442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,Generic resistor symbol,RES40,Top Copper
Resistors,2,"R21,R22",220,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55220R00FHEK?qs=UEmB0FaNOjg2TC4qgSAJvQ%3D%3D,Generic resistor symbol,RES40,Top Copper
Resistors,3,"R23,R24,R25",75,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF5575R000FHEB?qs=M0%2FukCt83fAn7GYP4qi24A%3D%3D,Generic resistor symbol,RES40,Top Copper
Resistors,1,R104,100,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55100R00FHEK?qs=E1R6yEsG10vYngbhrGJpcw%3D%3D,Generic resistor symbol,RES40,Top Copper
Resistors,1,R105,470,https://www.mouser.sg/ProductDetail/Vishay-BC-Components/SFR25H0004700FR500?qs=58bml8Dt%2FllkS%252Ba6658qMg%3D%3D,Generic resistor symbol,RES40,Top Copper
Integrated Circuits,2,"U23,U73",7402,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS02DR?qs=SL3LIuy2dWwMb1IRls9bqA%3D%3D,Quadruple 2-Input Positive-NOR Gates,SOIC127P600X175-14N-CAP,Top Copper
