Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSP9,09021646921,TOP,-90,-541.658,133.35
VIDEOP9,09021646921,TOP,-90,-541.658,30.48
BACKGROUNDRGB1,SHDRRA20W64P254_2X10_3302X889X927P,TOP,0,-500.38,180.34
DSW15,SW-DIP8,TOP,-90,-524.51,60.96
DSW14,SW-DIP8,TOP,-90,-524.51,102.87
DSW18,SW-DIP2,TOP,-90,-487.68,45.72
U604,SOP80P1176X120-44,TOP,90,-506.331,160.64
U609,SOP80P1176X120-44,TOP,90,-506.331,146.67
U602,SOIC127P1030X265-20N-CAP,TOP,270,-509.046,132.44
U608,SOIC127P1030X265-20N-CAP,TOP,180,-524.149,134.396
U598,SOIC127P780X200-20N-CAP,TOP,270,-525.569,147.57
U611,SOIC127P780X200-20N-CAP,TOP,0,-495.549,129.752
U613,SOIC127P780X200-20N-CAP,TOP,0,-490.469,146.262
U614,SOIC127P780X200-20N-CAP,TOP,270,-525.569,157.73
U615,SOIC127P780X200-20N-CAP,TOP,180,-511.561,98.8484
U616,SOIC127P780X200-20N-CAP,TOP,180,-501.401,98.8484
U599,SOIC127P600X175-16N-CAP,TOP,90,-503.017,86.5299
U600,SOIC127P600X175-16N-CAP,TOP,180,-492.93,161.193
U601,SOIC127P600X175-16N-CAP,TOP,0,-491.32,96.617
U603,SOIC127P600X175-16N-CAP,TOP,90,-503.017,77.6399
U605,SOIC127P600X175-16N-CAP,TOP,180,-492.93,83.723
U610,SOIC127P600X175-16N-CAP,TOP,0,-501.48,66.137
U612,SOIC127P600X175-16N-CAP,TOP,0,-491.32,66.137
U617,SOIC127P600X175-16N-CAP,TOP,0,-510.37,66.137
U618,SOIC127P600X175-16N-CAP,TOP,270,-495.203,34.1201
U619,SOIC127P600X175-16N-CAP,TOP,0,-505.29,31.847
U620,SOIC127P600X175-16N-CAP,TOP,0,-514.18,31.847
U621,SOIC127P600X175-16N-CAP,TOP,270,-525.683,34.1201
U622,SOIC127P600X175-16N-CAP,TOP,90,-494.127,25.5699
U606,SOIC127P600X175-14N-CAP,TOP,90,-525.242,25.5849
U607,SOIC127P600X175-14N-CAP,TOP,270,-525.048,16.325
U623,SOIC127P600X175-14N-CAP,TOP,90,-510.002,21.775
C7,CAPC1005X55N,TOP,90,-518.16,24.13
C8,CAPC1005X55N,TOP,270,-518.16,20.32
C9,CAPC1005X55N,TOP,90,-530.86,133.35
C10,CAPC1005X55N,TOP,0,-497.84,138.43
