Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSP6,09021646921,TOP,-90,-534.487,-130.81
VIDEOP6,09021646921,TOP,-90,-534.487,-233.68
BANKSEL3,CONN-SIL2,TOP,-180,-521.97,-82.55
PIXEL6,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-502.92,-83.82
DSW7,SW-DIP8,TOP,270,-515.239,-129.54
OSC1,SQRWIDOSCDIL14,TOP,90,-519.43,-224.79
U365,SOP80P1176X120-44,TOP,0,-483.25,-179.47
C2,CAPC1005X55N,TOP,-90,-476.199,-179.476
C1,CAPC1005X55N,TOP,-270,-490.322,-179.476
U590,DIL28CAP20,TOP,0,-393.827,-177.673
U589,DIL28CAP20,TOP,0,-393.827,-199.263
U313,DIL24NARCAP20,TOP,0,-429.387,-222.123
U386,DIL24NARCAP20,TOP,0,-429.387,-234.823
U494,SOIC127P1412X300-32N,TOP,0,-482.6,-148.59
U495,SOIC127P1412X300-32N,TOP,0,-482.6,-120.65
C4,CAPC1005X55N,TOP,0,-475.917,-137.541
C6,CAPC1005X55N,TOP,0,-475.917,-109.474
U419,SOIC127P600X175-14N-CAP,TOP,0,-506.545,-210.088
DSW16,SW-DIP8,TOP,-90,-515.62,-102.87
DSW10,SW-DIP8,TOP,-90,-518.16,-204.47
U418,SOIC127P600X175-16N-CAP,TOP,0,-506.56,-196.753
U292,DIL16CAP20,TOP,0,-459.867,-143.383
U298,DIL16CAP20,TOP,0,-459.867,-133.223
U358,DIL16CAP20,TOP,0,-459.867,-123.063
U359,DIL16CAP20,TOP,0,-459.867,-153.543
U432,DIL16CAP20,TOP,0,-505.587,-178.943
U434,DIL16CAP20,TOP,0,-459.867,-112.903
U435,DIL16CAP20,TOP,0,-505.587,-153.543
U436,DIL16CAP20,TOP,0,-459.867,-178.943
U317,SOIC127P1030X265-20N-CAP,TOP,180,-461.919,-193.264
U371,SOIC127P1030X265-20N-CAP,TOP,0,-493.121,-197.896
U378,SOIC127P1030X265-20N-CAP,TOP,180,-477.159,-198.344
U329,SOIC127P1030X265-20N-CAP,TOP,0,-493.121,-218.216
U415,SOIC127P1030X265-20N-CAP,TOP,0,-477.881,-218.216
U541,SOIC127P1030X265-20N-CAP,TOP,90,-426.944,-249.28
U553,SOIC127P1030X265-20N-CAP,TOP,270,-390.936,-223.16
U554,SOIC127P1030X265-20N-CAP,TOP,180,-446.679,-193.264
U558,SOIC127P1030X265-20N-CAP,TOP,270,-431.576,-192.68
U574,SOIC127P1030X265-20N-CAP,TOP,0,-432.161,-177.576
U301,SOIC127P780X200-20N-CAP,TOP,0,-418.079,-177.588
U311,SOIC127P780X200-20N-CAP,TOP,270,-482.389,-100.08
U321,SOIC127P780X200-20N-CAP,TOP,180,-496.321,-233.892
U322,SOIC127P780X200-20N-CAP,TOP,180,-486.161,-233.892
U323,SOIC127P780X200-20N-CAP,TOP,180,-476.001,-233.892
U324,SOIC127P780X200-20N-CAP,TOP,270,-492.549,-247.4
U325,SOIC127P780X200-20N-CAP,TOP,270,-492.549,-257.561
U326,SOIC127P780X200-20N-CAP,TOP,0,-479.039,-253.788
U327,SOIC127P780X200-20N-CAP,TOP,0,-468.879,-253.788
U328,SOIC127P780X200-20N-CAP,TOP,180,-465.841,-233.892
U338,SOIC127P780X200-20N-CAP,TOP,0,-418.079,-197.908
U341,SOIC127P780X200-20N-CAP,TOP,180,-506.481,-233.892
U351,SOIC127P780X200-20N-CAP,TOP,0,-458.719,-253.788
U352,SOIC127P780X200-20N-CAP,TOP,0,-448.559,-253.788
U370,SOIC127P780X200-20N-CAP,TOP,0,-453.639,-228.388
U373,SOIC127P780X200-20N-CAP,TOP,0,-499.359,-126.788
U380,SOIC127P780X200-20N-CAP,TOP,90,-426.931,-260.599
U503,SOIC127P780X200-20N-CAP,TOP,90,-508.211,-250.44
U505,SOIC127P780X200-20N-CAP,TOP,90,-508.211,-260.599
U506,SOIC127P780X200-20N-CAP,TOP,270,-492.549,-267.721
U507,SOIC127P780X200-20N-CAP,TOP,270,-492.549,-277.881
U508,SOIC127P780X200-20N-CAP,TOP,270,-492.549,-288.041
U509,SOIC127P780X200-20N-CAP,TOP,270,-472.229,-267.721
U510,SOIC127P780X200-20N-CAP,TOP,180,-506.481,-274.531
U511,SOIC127P780X200-20N-CAP,TOP,180,-516.641,-274.531
U516,SOIC127P780X200-20N-CAP,TOP,270,-472.229,-277.881
U517,SOIC127P780X200-20N-CAP,TOP,270,-472.229,-288.041
U518,SOIC127P780X200-20N-CAP,TOP,0,-458.719,-284.269
U521,SOIC127P780X200-20N-CAP,TOP,90,-426.931,-270.759
U568,SOIC127P780X200-20N-CAP,TOP,270,-462.069,-100.08
U569,SOIC127P780X200-20N-CAP,TOP,270,-512.869,-288.041
U570,SOIC127P780X200-20N-CAP,TOP,270,-446.829,-267.721
U573,SOIC127P780X200-20N-CAP,TOP,90,-426.931,-280.919
U577,SOIC127P780X200-20N-CAP,TOP,0,-448.559,-284.269
U585,SOIC127P780X200-20N-CAP,TOP,180,-394.721,-238.972
U588,SOIC127P780X200-20N-CAP,TOP,0,-397.759,-258.869
U624,SOIC127P780X200-20N-CAP,TOP,180,-384.561,-238.972
U295,SOIC127P600X175-16N-CAP,TOP,0,-439.25,-252.633
U296,SOIC127P600X175-16N-CAP,TOP,180,-439.59,-280.767
U297,SOIC127P600X175-16N-CAP,TOP,270,-394.873,-271.95
U302,SOIC127P600X175-16N-CAP,TOP,90,-382.367,-251.29
U303,SOIC127P600X175-16N-CAP,TOP,90,-382.367,-261.45
U304,SOIC127P600X175-16N-CAP,TOP,270,-506.633,-221.15
U305,SOIC127P600X175-16N-CAP,TOP,0,-444.33,-176.433
U306,SOIC127P600X175-16N-CAP,TOP,90,-438.247,-129.37
