Part ID,Package,Layer,Rotation,X,Y
VID1,CONN-DIL8,TOP,90,22.7,-20.35
X2,XTAL18,TOP,0,-75.55,-44.88
R21,RES40,TOP,270,-81.9,-55.04
R22,RES40,TOP,-90,-69.2,-55.04
C5,CAP20,TOP,180,-75.55,-63.93
INRAMSEL1,CONN-SIL8,TOP,-180,-142.24,134.62
R50,RES40,TOP,-90,-29.21,54.3151
R51,RES40,TOP,-90,-13.335,54.3151
R52,RES40,TOP,-90,-10.16,54.3151
R53,RES40,TOP,-90,-6.985,54.3151
R54,RES40,TOP,-90,-3.81,54.3151
R55,RES40,TOP,-90,-0.635,54.3151
R56,RES40,TOP,-90,2.54,54.3151
R57,RES40,TOP,-90,5.715,54.3151
R60,RES40,TOP,-90,-29.21,25.105
R61,RES40,TOP,-90,-13.335,25.105
R62,RES40,TOP,-90,-10.16,25.105
R63,RES40,TOP,-90,-6.985,25.105
R64,RES40,TOP,-90,-3.81,25.105
R65,RES40,TOP,-90,-0.635,25.105
R66,RES40,TOP,-90,2.54,25.105
R67,RES40,TOP,-90,5.715,25.105
R70,RES40,TOP,-90,-29.21,-3.175
R71,RES40,TOP,-90,-13.335,-3.175
R72,RES40,TOP,-90,-10.16,-3.175
R73,RES40,TOP,-90,-6.985,-3.175
R74,RES40,TOP,-90,-3.81,-3.175
R75,RES40,TOP,-90,-0.635,-3.175
R76,RES40,TOP,-90,2.54,-3.175
R77,RES40,TOP,-90,5.715,-3.175
RV2,PRE-MT0.75,TOP,-180,9.47999,39.1201
RV3,PRE-MT0.75,TOP,-180,9.47999,10.84
RV1,PRE-MT0.75,TOP,-180,9.47999,68.3301
R104,RES40,TOP,-90,6.35,-19.05
R105,RES40,TOP,-90,2.54,-19.05
EXPANSIONBUSP1,09021646921,TOP,-90,-159.388,87.63
VIDEOP1,09021646921,TOP,-90,-159.388,-15.24
VID2,23115864,TOP,90,13.97,-51.31
LAYER1,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-116.84,133.35
LAYER2,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-91.44,133.35
LAYER3,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-66.04,133.35
LAYER4,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-40.64,133.35
DSW9,SW-DIP2,TOP,-90,6.35,-30.48
U284,SOIC127P780X200-20N-CAP,TOP,0,-8.94001,-52.3684
L5E2NEW,SOIC127P780X200-20N-CAP,TOP,0,-48.5099,6.56151
5J8,SOIC127P600X175-16N-CAP,TOP,0,-88.7301,53.437
5K8,SOIC127P600X175-16N-CAP,TOP,0,-88.7301,39.467
5F8,SOIC127P600X175-16N-CAP,TOP,0,-97.6201,53.437
5H8,SOIC127P600X175-16N-CAP,TOP,0,-97.6201,39.467
3T,SOIC127P600X175-14N-CAP,TOP,0,-60.7751,-55.148
4T,SOIC127P600X175-16N-CAP,TOP,0,-90.0001,-54.513
8B2,SOIC127P600X175-16N-CAP,TOP,270,-24.033,68.3199
7A2,SOIC127P600X175-16N-CAP,TOP,270,-24.033,39.7901
U485,SOIC127P600X175-16N-CAP,TOP,270,-24.033,11.26
R17,RES40,TOP,-90,-16.51,54.3151
R18,RES40,TOP,-90,-19.685,54.3151
R43,RES40,TOP,-90,-22.86,54.3151
R44,RES40,TOP,-90,-26.035,54.3151
R19,RES40,TOP,-90,-16.51,25.105
R20,RES40,TOP,-90,-19.685,25.105
R39,RES40,TOP,-90,-22.86,25.105
R40,RES40,TOP,-90,-26.035,25.105
R41,RES40,TOP,-90,-16.51,-3.175
R42,RES40,TOP,-90,-19.685,-3.175
R45,RES40,TOP,-90,-22.86,-3.175
R46,RES40,TOP,-90,-26.035,-3.175
U26,DIL28CAP20,TOP,-90,-68.453,59.817
U34,DIL28CAP20,TOP,-90,-68.453,20.447
DSW12,SW-DIP8,TOP,-90,-143.51,110.49
U492,SOIC127P600X175-8N,TOP,0,-147.32,-21.59
C3,CAPC1005X55N,TOP,90,-151.59,-21.59
7B2,SOIC127P1030X265-20N-CAP,TOP,0,-49.8899,48.484
7C2,SOIC127P1030X265-20N-CAP,TOP,0,-49.8899,25.624
DSW13,SW-DIP2,TOP,-90,-143.51,93.98
BACKGROUNDRGB0,SHDRRA20W64P254_2X10_3302X889X927P,TOP,0,-6.35,133.35
DSW19,SW-DIP2,TOP,-270,-10.795,69.215
U625,SOT65P210X110-6N,TOP,0,20.32,58.4599
DSW20,SW-DIP2,TOP,0,22.86,50.8399
DSW21,SW-DIP2,TOP,0,22.86,21.63
U626,SOT65P210X110-6N,TOP,0,20.32,29.2499
U627,SOT65P210X110-6N,TOP,0,20.32,0.0399999
DSW22,SW-DIP2,TOP,0,22.86,-7.58
R23,RES40,TOP,-90,15.24,54.6499
R24,RES40,TOP,-90,15.24,25.4399
R25,RES40,TOP,-90,15.24,-2.5
C11,CAPC1005X55N,TOP,-90,23.495,59.7299
C12,CAPC1005X55N,TOP,-90,23.495,30.5199
C13,CAPC1005X55N,TOP,-90,23.495,1.31
JP1,CONN-SIL2,TOP,180,22.23,62.9999
JP2,CONN-SIL2,TOP,180,22.23,33.9999
JP3,CONN-SIL2,TOP,180,22.23,4.99999
U25,SOIC127P780X200-20N-CAP,TOP,270,-51.8584,62.4799
U213,SOIC127P780X200-20N-CAP,TOP,270,-51.8584,72.6399
U216,SOIC127P780X200-20N-CAP,TOP,270,-86.1484,77.7199
U255,SOIC127P780X200-20N-CAP,TOP,0,-143.76,-32.8084
U256,SOIC127P780X200-20N-CAP,TOP,0,-133.6,-32.8084
U259,SOIC127P780X200-20N-CAP,TOP,180,-144.53,-48.4716
U263,SOIC127P780X200-20N-CAP,TOP,270,-75.9884,87.8799
U265,SOIC127P600X175-16N-CAP,TOP,270,-76.103,97.6201
U266,SOIC127P600X175-16N-CAP,TOP,270,-76.103,106.51
U267,SOIC127P600X175-16N-CAP,TOP,270,-76.103,115.4
U268,SOIC127P600X175-16N-CAP,TOP,180,-86.5299,114.203
U269,SOIC127P600X175-16N-CAP,TOP,0,-86.1901,100.427
U270,SOIC127P600X175-16N-CAP,TOP,0,-95.0801,100.427
U271,SOIC127P600X175-16N-CAP,TOP,270,-92.613,87.4601
U272,SOIC127P600X175-16N-CAP,TOP,180,-95.4199,114.203
U273,SOIC127P600X175-16N-CAP,TOP,0,-50.6301,100.427
U274,SOIC127P600X175-16N-CAP,TOP,270,-49.433,111.59
U275,SOIC127P600X175-16N-CAP,TOP,0,-41.7401,100.427
U276,SOIC127P600X175-16N-CAP,TOP,270,-35.463,111.59
U277,SOIC127P600X175-16N-CAP,TOP,270,-31.653,98.8901
U278,SOIC127P600X175-16N-CAP,TOP,270,-21.493,107.78
U279,SOIC127P600X175-16N-CAP,TOP,0,-20.15,95.347
U280,SOIC127P600X175-16N-CAP,TOP,270,-21.493,116.67
U264,SOIC127P780X200-20N-CAP,TOP,270,-143.298,76.4499
U430,SOIC127P780X200-20N-CAP,TOP,0,-129.79,80.2216
U484,SOIC127P780X200-20N-CAP,TOP,90,-129.752,93.7301
U490,SOIC127P780X200-20N-CAP,TOP,270,-129.328,106.93
U629,SOIC127P780X200-20N-CAP,TOP,0,-19.3,-53.1284
3M8,SOIC127P600X175-16N-CAP,TOP,0,-81.1101,48.357
3N,SOIC127P600X175-16N-CAP,TOP,180,-134.79,-47.087
3P,SOIC127P600X175-16N-CAP,TOP,180,-124.63,-40.737
3R,SOIC127P600X175-16N-CAP,TOP,0,-116.67,-43.083
3S,SOIC127P600X175-16N-CAP,TOP,90,-118.207,-53.1701
4M,SOIC127P600X175-16N-CAP,TOP,270,-144.683,86.1901
7R,SOIC127P600X175-16N-CAP,TOP,90,-128.367,117.01
6D2,SOIC127P600X175-16N-CAP,TOP,90,-83.917,29.3799
6F2,SOIC127P600X175-16N-CAP,TOP,90,-83.917,21.76
8D2,SOIC127P600X175-16N-CAP,TOP,90,-83.917,14.14
U76,SOIC127P600X175-16N-CAP,TOP,180,-108.12,-47.087
U87,SOIC127P600X175-16N-CAP,TOP,180,-120.82,78.643
U210,SOIC127P600X175-16N-CAP,TOP,0,-95.0801,16.607
U211,SOIC127P600X175-16N-CAP,TOP,180,-83.9899,3.713
U217,SOIC127P600X175-16N-CAP,TOP,270,-131.983,-58.5899
U218,SOIC127P600X175-16N-CAP,TOP,180,-83.9899,-28.037
U219,SOIC127P600X175-16N-CAP,TOP,180,-92.8799,-28.037
U260,SOIC127P600X175-16N-CAP,TOP,270,-95.153,4.91
U261,SOIC127P600X175-16N-CAP,TOP,270,-73.563,-28.1099
U262,SOIC127P600X175-16N-CAP,TOP,90,-123.287,39.5399
U361,SOIC127P600X175-16N-CAP,TOP,180,-62.3999,-28.037
U385,SOIC127P600X175-16N-CAP,TOP,180,-52.2399,-28.037
U363,SOIC127P600X175-16N-CAP,TOP,90,-8.987,96.6899
U391,SOIC127P600X175-16N-CAP,TOP,90,-7.717,105.58
U393,SOIC127P600X175-16N-CAP,TOP,270,-7.523,116.67
U597,SOIC127P600X175-16N-CAP,TOP,0,1.44,92.807
U628,SOIC127P600X175-16N-CAP,TOP,270,-22.763,-40.8099
U631,SOIC127P600X175-16N-CAP,TOP,180,-29.3799,-52.167
U632,SOIC127P600X175-16N-CAP,TOP,270,-125.633,48.0901
U633,SOIC127P600X175-16N-CAP,TOP,270,-125.633,30.3101
U634,SOIC127P600X175-16N-CAP,TOP,270,-125.633,21.42
