Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSP9,09021646921,TOP,-90,-541.658,133.35
VIDEOP9,09021646921,TOP,-90,-541.658,30.48
BACKGROUNDRGB1,SHDRRA20W64P254_2X10_3302X889X927P,TOP,0,-500.38,180.34
DSW15,SW-DIP8,TOP,-90,-524.51,60.96
DSW14,SW-DIP8,TOP,-90,-524.51,102.87
DSW18,SW-DIP2,TOP,-90,-478.79,45.72
U604,SOP80P1176X120-44,TOP,90,-501.251,158.735
U609,SOP80P1176X120-44,TOP,90,-501.251,141.717
C7,CAPC1005X55N,TOP,0,-501.269,165.735
C8,CAPC1005X55N,TOP,-180,-501.269,151.765
C9,CAPC1005X55N,TOP,0,-501.269,148.717
C10,CAPC1005X55N,TOP,-180,-501.269,134.747
DEBUGRGB1,CONN-SIL8,TOP,0,-477.52,-16.51
U602,SOIC127P1030X265-20N-CAP,TOP,180,-510.179,126.776
U608,SOIC127P1030X265-20N-CAP,TOP,270,-495.076,126.09
U598,SOIC127P780X200-20N-CAP,TOP,270,-524.299,124.71
U611,SOIC127P780X200-20N-CAP,TOP,270,-524.299,134.87
U613,SOIC127P780X200-20N-CAP,TOP,270,-524.299,145.03
U614,SOIC127P780X200-20N-CAP,TOP,270,-524.299,155.19
U615,SOIC127P780X200-20N-CAP,TOP,270,-483.659,137.41
U616,SOIC127P780X200-20N-CAP,TOP,270,-483.659,147.57
U599,SOIC127P600X175-16N-CAP,TOP,180,-511.98,100.233
U600,SOIC127P600X175-16N-CAP,TOP,90,-500.477,101.77
U601,SOIC127P600X175-16N-CAP,TOP,180,-482.77,125.633
U603,SOIC127P600X175-16N-CAP,TOP,270,-483.773,158.58
U605,SOIC127P600X175-16N-CAP,TOP,180,-490.39,100.233
U610,SOIC127P600X175-16N-CAP,TOP,270,-501.553,92.5401
U612,SOIC127P600X175-16N-CAP,TOP,180,-511.98,86.263
U617,SOIC127P600X175-16N-CAP,TOP,270,-501.553,83.6501
U618,SOIC127P600X175-16N-CAP,TOP,0,-490.05,83.917
U619,SOIC127P600X175-16N-CAP,TOP,0,-473.54,124.557
U620,SOIC127P600X175-16N-CAP,TOP,180,-481.5,100.233
U621,SOIC127P600X175-16N-CAP,TOP,270,-479.963,83.6501
U622,SOIC127P600X175-16N-CAP,TOP,270,-479.963,74.7601
U606,SOIC127P600X175-14N-CAP,TOP,90,-501.112,75.1149
U607,SOIC127P600X175-14N-CAP,TOP,0,-490.035,70.582
U623,SOIC127P600X175-14N-CAP,TOP,90,-479.522,66.2249
