Part ID,Package,Layer,Rotation,X,Y
BANKSEL4,CONN-SIL2,TOP,-180,181.61,134.62
EXPANSIONBUSP2,09021646921,TOP,-90,170.812,87.63
VIDEOP2,09021646921,TOP,-90,170.812,-15.24
PIXEL2,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,218.44,133.35
U137,DIL28CAP20,TOP,-90,222.377,-46.863
U258,DIL28CAP20,TOP,-90,240.157,-46.863
8H6R,DIL28CAP20,TOP,-90,222.377,86.487
8K6R,DIL28CAP20,TOP,-90,240.157,86.487
8N6R,DIL28CAP20,TOP,-90,222.377,45.847
L8E6R,DIL28CAP20,TOP,-90,240.157,45.847
DSW2,SW-DIP8,TOP,270,185.42,118.11
DSW3,SW-DIP8,TOP,270,185.42,95.25
DSW17,SW-DIP8,TOP,-90,190.5,15.24
U28,SOIC127P1030X265-20N-CAP,TOP,0,206.65,61.184
U35,SOIC127P1030X265-20N-CAP,TOP,0,193.95,61.184
U36,SOIC127P1030X265-20N-CAP,TOP,270,204.694,47.3499
U40,SOIC127P1030X265-20N-CAP,TOP,0,190.14,44.674
U221,SOIC127P1030X265-20N-CAP,TOP,0,206.65,33.244
U257,SOIC127P1030X265-20N-CAP,TOP,270,209.774,18.14
4L6,SOIC127P780X200-20N-CAP,TOP,270,204.682,75.1799
U32,SOIC127P600X175-16N-CAP,TOP,180,209.38,87.533
U154,SOIC127P600X175-16N-CAP,TOP,180,222.08,20.223
U155,SOIC127P600X175-16N-CAP,TOP,180,230.97,20.223
5L6,SOIC127P780X200-20N-CAP,TOP,90,227.118,8.63999
U30,SOIC127P600X175-16N-CAP,TOP,180,201.76,87.533
U31,SOIC127P600X175-16N-CAP,TOP,180,253.83,87.533
U60,SOIC127P780X200-20N-CAP,TOP,270,209.762,6.60001
U61,SOIC127P780X200-20N-CAP,TOP,270,209.762,-3.55999
U282,SOIC127P780X200-20N-CAP,TOP,270,204.682,115.82
U289,SOIC127P780X200-20N-CAP,TOP,270,209.762,-13.72
U290,SOIC127P780X200-20N-CAP,TOP,270,204.682,-23.88
U637,SOIC127P780X200-20N-CAP,TOP,270,204.682,105.66
U639,SOIC127P780X200-20N-CAP,TOP,270,221.192,110.74
4M6,SOIC127P600X175-16N-CAP,TOP,270,189.327,73.4901
6F6,SOIC127P600X175-16N-CAP,TOP,90,220.883,120.82
7D6,SOIC127P600X175-16N-CAP,TOP,90,256.443,76.3699
L7E6,SOIC127P600X175-16N-CAP,TOP,0,254.17,64.867
7F6,SOIC127P600X175-16N-CAP,TOP,0,261.79,87.727
7H6,SOIC127P600X175-16N-CAP,TOP,0,261.79,64.867
7J6,SOIC127P600X175-16N-CAP,TOP,0,254.17,100.427
7K6,SOIC127P600X175-16N-CAP,TOP,0,261.79,101.697
U29,SOIC127P600X175-16N-CAP,TOP,180,239.86,20.223
U33,SOIC127P600X175-16N-CAP,TOP,180,222.08,-2.637
U37,SOIC127P600X175-16N-CAP,TOP,0,254.17,48.357
U38,SOIC127P600X175-16N-CAP,TOP,0,261.79,48.357
U57,SOIC127P600X175-16N-CAP,TOP,90,236.123,111.93
U62,SOIC127P600X175-16N-CAP,TOP,180,229.7,-2.637
U83,SOIC127P600X175-16N-CAP,TOP,180,197.95,-6.447
U84,SOIC127P600X175-16N-CAP,TOP,0,189.4,-6.253
U86,SOIC127P600X175-16N-CAP,TOP,90,190.403,-17.61
6P6,SOIC127P600X175-14N-CAP,TOP,90,189.768,-25.215
U248,SOIC127P600X175-16N-CAP,TOP,90,250.093,111.93
U249,SOIC127P600X175-16N-CAP,TOP,90,236.123,120.82
U251,SOIC127P600X175-16N-CAP,TOP,180,222.08,-16.607
U252,SOIC127P600X175-16N-CAP,TOP,270,205.837,-33.1899
U288,SOIC127P600X175-16N-CAP,TOP,270,205.837,-42.0799
U253,SOIC127P600X175-16N-CAP,TOP,90,256.443,38.2699
U254,SOIC127P600X175-16N-CAP,TOP,0,231.31,-17.683
U286,SOIC127P600X175-16N-CAP,TOP,270,189.327,-34.4599
U287,SOIC127P600X175-16N-CAP,TOP,270,186.787,-43.3499
6N2,SOIC127P600X175-14N-CAP,TOP,90,249.458,120.835
6N6,SOIC127P600X175-14N-CAP,TOP,180,238.575,6.888
U10,SOIC127P600X175-14N-CAP,TOP,90,240.568,-3.62501
U17,SOIC127P600X175-14N-CAP,TOP,180,239.845,-17.242
U41,SOIC127P600X175-14N-CAP,TOP,0,247.835,15.972
U593,SOIC127P600X175-14N-CAP,TOP,270,256.002,29.0251
U90,SOIC127P600X175-14N-CAP,TOP,0,255.455,15.972
U91,SOIC127P600X175-14N-CAP,TOP,270,248.382,6.16501
U640,SOIC127P600X175-14N-CAP,TOP,0,260.535,115.032
