Part ID,Package,Layer,Rotation,X,Y
BANKSEL4,CONN-SIL2,TOP,-180,-177.8,123.19
J1,1610098E,TOP,-90,-28.5801,108.53
R16,RES40,TOP,-90,-40.3301,118.45
R1,RES40,TOP,270,-77.6399,108.45
R2,RES40,TOP,270,-75.1401,118.45
R3,RES40,TOP,270,-72.6399,108.45
R4,RES40,TOP,270,-70.1401,118.45
R5,RES40,TOP,270,-67.6399,108.45
R6,RES40,TOP,270,-65.1401,118.45
R7,RES40,TOP,270,-62.64,108.45
R8,RES40,TOP,270,-60.1401,118.45
R9,RES40,TOP,270,-57.64,108.45
R10,RES40,TOP,270,-55.1401,118.45
R11,RES40,TOP,270,-52.64,108.45
R12,RES40,TOP,270,-50.1401,118.45
R13,RES40,TOP,270,-47.64,108.45
R14,RES40,TOP,270,-45.1401,118.45
R15,RES40,TOP,270,-42.64,108.45
EXPANSIONBUSP1,09021646921,TOP,-90,-192.408,74.93
VIDEOP1,09021646921,TOP,-90,-192.408,-27.94
DSW1,SW-DIP8,TOP,270,-172.72,73.66
R17,RES40,TOP,-90,-85.09,71.12
R34,RES40,TOP,-90,-81.28,71.12
R35,RES40,TOP,-90,-77.47,71.12
R36,RES40,TOP,-90,-73.66,71.12
R37,RES40,TOP,-90,-69.85,71.12
R38,RES40,TOP,-90,-66.04,71.12
R39,RES40,TOP,-90,-62.23,71.12
R42,RES40,TOP,-90,-58.42,71.12
R43,RES40,TOP,-90,-82.55,83.82
R44,RES40,TOP,-90,-78.74,83.82
R45,RES40,TOP,-90,-74.93,83.82
R46,RES40,TOP,-90,-71.12,83.82
R47,RES40,TOP,-90,-67.31,83.82
R48,RES40,TOP,-90,-63.5,83.82
R49,RES40,TOP,-90,-59.69,83.82
R50,RES40,TOP,-90,-55.88,83.82
DEBUGAUDIO1,CONN-DIL8,TOP,-90,-40.64,77.47
DEBUGAUDIO2,CONN-DIL8,TOP,-90,-83.82,113.03
OSC2,SQRWIDOSCDIL14,TOP,0,-107.95,-73.66
U73,DIL28CAP20,TOP,-90,-102.743,-12.573
3T,SOIC127P600X175-14N-CAP,TOP,90,-112.492,-62.0451
U2,SOIC127P1030X265-20N-CAP,TOP,0,-93.0699,111.984
U209,SOIC127P1030X265-20N-CAP,TOP,0,-94.3399,76.424
DSW22,SW-DIP2,TOP,-90,-172.72,88.9
DSW15,SW-DIP8,TOP,-90,-172.72,105.41
U201,SOP80P1176X120-44,TOP,0,-127.65,-1.67
U200,SOP80P1176X120-44,TOP,0,-127.65,-23.26
C1,CAPC1005X55N,TOP,90,-135.128,-1.651
C2,CAPC1005X55N,TOP,270,-120.142,-1.651
C3,CAPC1005X55N,TOP,90,-135.128,-23.241
C4,CAPC1005X55N,TOP,270,-120.142,-23.241
J3,SJ13523NG,TOP,-180,-27.0624,77.47
J4,SJ13523NG,TOP,-180,-27.0624,36.068
DSW2,SW-DIP2,TOP,-270,-45.72,46.99
DSW3,SW-DIP2,TOP,-270,-45.72,33.02
DEBUGAUD1,CONN-SIL8,TOP,0,-161.29,-76.2
DEBUGAUD2,CONN-SIL8,TOP,0,-137.16,-76.2
DEBUGAUD3,CONN-SIL8,TOP,0,-73.66,-76.2
U492,SOIC127P600X175-8N,TOP,0,-99.06,-62.23
C5,CAPC1005X55N,TOP,90,-104.14,-62.23
U21,SOIC127P1030X265-20N-CAP,TOP,180,-145.69,6.126
U28,SOIC127P1030X265-20N-CAP,TOP,180,-158.39,6.126
U66,SOIC127P1030X265-20N-CAP,TOP,90,-150.084,-16.87
U16,SOIC127P780X200-20N-CAP,TOP,180,-169.93,6.13849
U598,SOIC127P780X200-20N-CAP,TOP,270,-154.728,71.3699
U77,SOIC127P1030X265-20N-CAP,TOP,0,-112.12,105.634
U20,SOIC127P600X175-16N-CAP,TOP,270,-152.303,81.1101
U74,SOIC127P600X175-16N-CAP,TOP,90,-110.587,75.0999
U75,SOIC127P600X175-16N-CAP,TOP,90,-111.857,82.7199
U3,SOIC127P780X200-20N-CAP,TOP,90,-169.122,18.8
U4,SOIC127P780X200-20N-CAP,TOP,270,-153.458,19.3
U6,SOIC127P780X200-20N-CAP,TOP,270,-171.238,39.6199
U9,SOIC127P780X200-20N-CAP,TOP,0,-157.73,43.3916
U10,SOIC127P780X200-20N-CAP,TOP,270,-171.238,51.0499
U11,SOIC127P780X200-20N-CAP,TOP,0,-147.57,43.3916
U12,SOIC127P780X200-20N-CAP,TOP,270,-154.728,59.9399
U13,SOIC127P780X200-20N-CAP,TOP,180,-164.85,-15.4515
U18,SOIC127P780X200-20N-CAP,TOP,180,-175.01,-15.4515
U22,SOIC127P780X200-20N-CAP,TOP,270,-154.728,90.4199
U27,SOIC127P780X200-20N-CAP,TOP,90,-75.1416,-67.5599
U33,SOIC127P780X200-20N-CAP,TOP,90,-75.1416,-57.3999
U46,SOIC127P780X200-20N-CAP,TOP,0,-123.44,77.6816
U47,SOIC127P780X200-20N-CAP,TOP,270,-172.508,-28.9601
U53,SOIC127P780X200-20N-CAP,TOP,270,-172.508,-39.1201
U65,SOIC127P780X200-20N-CAP,TOP,270,-153.458,-28.9601
U71,SOIC127P600X175-14N-CAP,TOP,270,-154.208,-38.2849
U1,SOIC127P600X175-16N-CAP,TOP,270,-140.873,-44.6199
U7,SOIC127P600X175-16N-CAP,TOP,270,-152.303,100.16
U8,SOIC127P600X175-16N-CAP,TOP,270,-114.203,60.7901
U19,SOIC127P600X175-16N-CAP,TOP,180,-124.63,58.323
U14,SOIC127P600X175-16N-CAP,TOP,90,-111.857,52.2399
U67,SOIC127P600X175-16N-CAP,TOP,90,-111.857,44.6199
U15,SOIC127P600X175-16N-CAP,TOP,270,-125.633,46.8201
U23,SOIC127P600X175-16N-CAP,TOP,180,-124.63,102.773
U24,SOIC127P600X175-16N-CAP,TOP,180,-77.6399,-45.817
U25,SOIC127P600X175-16N-CAP,TOP,0,-86.1901,-45.623
U26,SOIC127P600X175-16N-CAP,TOP,0,-69.6801,-45.623
U29,SOIC127P600X175-16N-CAP,TOP,0,-123.02,35.657
U30,SOIC127P600X175-16N-CAP,TOP,90,-124.557,21.76
U31,SOIC127P600X175-16N-CAP,TOP,270,-112.933,36.6601
U32,SOIC127P600X175-16N-CAP,TOP,0,-114.13,25.497
U34,SOIC127P600X175-16N-CAP,TOP,270,-114.203,91.2701
U35,SOIC127P600X175-16N-CAP,TOP,270,-125.633,112.86
U36,SOIC127P600X175-16N-CAP,TOP,0,-62.0601,-51.973
U37,SOIC127P600X175-16N-CAP,TOP,180,-63.6699,-64.867
U38,SOIC127P600X175-16N-CAP,TOP,90,-96.617,-44.2801
U39,SOIC127P600X175-16N-CAP,TOP,270,-81.183,-34.4599
U40,SOIC127P600X175-16N-CAP,TOP,180,-143.68,111.663
U41,SOIC127P600X175-16N-CAP,TOP,180,-152.57,111.663
U42,SOIC127P600X175-16N-CAP,TOP,0,-106.51,25.497
U43,SOIC127P600X175-16N-CAP,TOP,0,-62.0601,-36.733
U72,SOIC127P600X175-16N-CAP,TOP,180,-70.0199,-31.847
U208,SOIC127P600X175-16N-CAP,TOP,180,-63.6699,-17.877
U59,SOIC127P600X175-16N-CAP,TOP,180,-71.2899,-17.877
U60,SOIC127P600X175-16N-CAP,TOP,180,-78.9099,-17.877
U61,SOIC127P600X175-16N-CAP,TOP,180,-78.9099,8.793
U62,SOIC127P600X175-16N-CAP,TOP,0,-70.9501,7.717
U68,SOIC127P600X175-16N-CAP,TOP,270,-126.903,-44.6199
U5,SOIC127P600X175-14N-CAP,TOP,270,-53.878,-64.9549
U17,SOIC127P600X175-14N-CAP,TOP,270,-113.568,-44.6349
U44,SOIC127P600X175-14N-CAP,TOP,90,-51.532,-54.4251
U63,SOIC127P600X175-14N-CAP,TOP,90,-60.422,5.26499
U45,SOIC127P600X175-14N-CAP,TOP,180,-54.7949,-10.892
