Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSH1,09022646824,TOP,-90,-184.675,57.15
VIDEOH1,09022646824,TOP,-90,-184.675,-45.72
EXPANSIONBUSH2,09022646824,TOP,-90,-164.355,57.15
EXPANSIONBUSH3,09022646824,TOP,-90,-144.035,57.15
EXPANSIONBUSH4,09022646824,TOP,-90,-123.715,57.15
VIDEOH2,09022646824,TOP,-90,-164.355,-45.72
VIDEOH3,09022646824,TOP,-90,-144.035,-45.72
VIDEOH4,09022646824,TOP,-90,-123.715,-45.72
EXPANSIONBUSH5,09022646824,TOP,-90,-103.395,57.15
VIDEOH5,09022646824,TOP,-90,-103.395,-45.72
EXPANSIONBUSH6,09022646824,TOP,-90,-83.075,57.15
VIDEOH6,09022646824,TOP,-90,-83.075,-45.72
EXPANSIONBUSH7,09022646824,TOP,-90,-62.755,57.15
VIDEOH7,09022646824,TOP,-90,-62.755,-45.72
EXPANSIONBUSH8,09022646824,TOP,-90,-42.435,57.15
VIDEOH8,09022646824,TOP,-90,-42.435,-45.72
POWER 5V,163179PHEX,TOP,-90,74.7499,94.8601
D204,LED,TOP,-180,78.74,49.53
R208,RES40,TOP,-90,72.39,45.72
C1,CAPPRD350W65D800H1650 POS/NEG,TOP,0,75.4101,75.565
C2,CAPPRD350W65D800H1650 POS/NEG,TOP,0,75.4101,62.23
EXPANSIONBUSH9,09022646824,TOP,-90,-22.115,57.15
EXPANSIONBUSH10,09022646824,TOP,-90,-1.795,57.15
VIDEOH9,09022646824,TOP,-90,-22.115,-45.72
VIDEOH10,09022646824,TOP,-90,-1.795,-45.72
POWERB 5V,163179PHEX,TOP,-90,-203.02,94.3699
C3,CAPPRD350W65D800H1650 POS/NEG,TOP,0,-201.45,76.2
C4,CAPPRD350W65D800H1650 POS/NEG,TOP,0,-201.45,63.5
EXPANSIONBUSH11,09022646824,TOP,-90,18.525,57.15
EXPANSIONBUSH12,09022646824,TOP,-90,38.845,57.15
VIDEOH11,09022646824,TOP,-90,18.525,-45.72
VIDEOH12,09022646824,TOP,-90,38.845,-45.72
EXPANSIONBUSH13,09022646824,TOP,-90,59.165,57.15
VIDEOH13,09022646824,TOP,-90,59.165,-45.72
