Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSP1,09021646921,TOP,-90,-149.227,74.93
VIDEOP1,09021646921,TOP,-90,-149.227,-27.94
DSW2,SW-DIP8,TOP,270,-133.35,84.455
DSW1,SW-DIP8,TOP,270,-133.35,111.125
DSW4,SW-DIP8,TOP,-90,-121.92,111.125
EXPANSIONBUSH1,09022646824,TOP,-90,-132.605,12.7
U17,DIL28CAP20,TOP,-90,-112.253,17.387
U160,DIL28CAP20,TOP,-90,-92.253,17.387
U161,DIL28CAP20,TOP,-90,-74.753,17.387
U162,DIL28CAP20,TOP,-90,-57.253,17.387
U163,DIL28CAP20,TOP,-90,-39.7559,17.22
DSW3,SW-DIP8,TOP,-90,-120.65,84.455
U15,SOIC127P1030X265-20N-CAP,TOP,90,-113.254,47.9
U45,SOIC127P1030X265-20N-CAP,TOP,0,-99.42,49.754
U72,SOIC127P1030X265-20N-CAP,TOP,0,-86.72,49.754
U76,SOIC127P1030X265-20N-CAP,TOP,0,-74.02,49.754
U22,SOIC127P1030X265-20N-CAP,TOP,270,-114.076,60.05
U126,SOIC127P600X175-16N-CAP,TOP,90,-94.077,62.4
U2,SOIC127P780X200-20N-CAP,TOP,270,-100.118,71.37
U29,SOIC127P780X200-20N-CAP,TOP,180,-82.3,67.0985
U31,SOIC127P780X200-20N-CAP,TOP,270,-100.118,81.53
U36,SOIC127P780X200-20N-CAP,TOP,90,-100.541,91.19
U69,SOIC127P780X200-20N-CAP,TOP,180,-72.14,67.0985
U38,SOIC127P780X200-20N-CAP,TOP,90,-100.541,101.35
U39,SOIC127P780X200-20N-CAP,TOP,180,-116.59,-15.4515
U52,SOIC127P780X200-20N-CAP,TOP,90,-100.541,111.51
U53,SOIC127P780X200-20N-CAP,TOP,180,-87.38,107.739
U54,SOIC127P780X200-20N-CAP,TOP,180,-77.22,107.739
U56,SOIC127P780X200-20N-CAP,TOP,90,-82.7615,93.73
U63,SOIC127P780X200-20N-CAP,TOP,0,-67.56,105.621
U77,SOIC127P780X200-20N-CAP,TOP,180,-61.98,67.0985
