Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSP1,09021646921,TOP,-90,-149.227,74.93
VIDEOP1,09021646921,TOP,-90,-149.227,-27.94
DSW2,SW-DIP8,TOP,270,-133.35,84.455
DSW1,SW-DIP8,TOP,270,-133.35,111.125
DSW4,SW-DIP8,TOP,-90,-121.92,111.125
EXPANSIONBUSH1,09022646824,TOP,-90,-132.605,12.7
U17,DIL28CAP20,TOP,-90,-112.253,17.387
DC-1,CAP20,TOP,0,-107.3,35.04
U160,DIL28CAP20,TOP,-90,-92.253,17.387
DC-2,CAP20,TOP,0,-87.3,35.04
U161,DIL28CAP20,TOP,-90,-74.753,17.387
DC-3,CAP20,TOP,0,-69.8,35.04
U162,DIL28CAP20,TOP,-90,-57.253,17.387
DC-4,CAP20,TOP,0,-52.3,35.04
U163,DIL28CAP20,TOP,-90,-39.7559,17.22
DC-5,CAP20,TOP,0,-34.803,34.873
DSW3,SW-DIP8,TOP,-90,-120.65,84.455
U15,SOIC127P1030X265-20N-CAP,TOP,90,-113.254,47.9
SDC-1,CAPC1005X55N,TOP,90,-119.843,52.418
U45,SOIC127P1030X265-20N-CAP,TOP,0,-99.42,49.754
SDC-2,CAPC1005X55N,TOP,0,-94.902,56.343
U72,SOIC127P1030X265-20N-CAP,TOP,0,-86.72,49.754
SDC-3,CAPC1005X55N,TOP,0,-82.202,56.343
U76,SOIC127P1030X265-20N-CAP,TOP,0,-74.02,49.754
SDC-4,CAPC1005X55N,TOP,0,-69.502,56.343
U22,SOIC127P1030X265-20N-CAP,TOP,270,-114.076,60.05
SDC-5,CAPC1005X55N,TOP,270,-107.487,55.532
U126,SOIC127P600X175-16N-CAP,TOP,90,-94.077,62.4
SDC-6,CAPC1005X55N,TOP,90,-99.269,65.056
U2,SOIC127P780X200-20N-CAP,TOP,270,-100.118,71.37
SDC-7,CAPC1005X55N,TOP,270,-93.516,67.995
U29,SOIC127P780X200-20N-CAP,TOP,180,-82.3,67.0985
SDC-8,CAPC1005X55N,TOP,180,-85.675,60.497
U31,SOIC127P780X200-20N-CAP,TOP,270,-100.118,81.53
SDC-9,CAPC1005X55N,TOP,270,-93.516,78.155
