Category,References,Value,Stock Code,Unit Cost,Description,Group Layer
Capacitors,C5,200p,Maplin WX60Q,,220p Ceramic Capacitor,Audio
Resistors,R1,442,,,Generic resistor symbol,Audio
Resistors,R2,442,,,Generic resistor symbol,Audio
Resistors,R3,221,,,Generic resistor symbol,Audio
Resistors,R4,442,,,Generic resistor symbol,Audio
Resistors,R5,221,,,Generic resistor symbol,Audio
Resistors,R6,442,,,Generic resistor symbol,Audio
Resistors,R7,221,,,Generic resistor symbol,Audio
Resistors,R8,442,,,Generic resistor symbol,Audio
Resistors,R9,221,,,Generic resistor symbol,Audio
Resistors,R10,442,,,Generic resistor symbol,Audio
Resistors,R11,221,,,Generic resistor symbol,Audio
Resistors,R12,442,,,Generic resistor symbol,Audio
Resistors,R13,221,,,Generic resistor symbol,Audio
Resistors,R14,442,,,Generic resistor symbol,Audio
Resistors,R15,221,,,Generic resistor symbol,Audio
Resistors,R16,442,,,Generic resistor symbol,Audio
Resistors,R17,75,,,Generic resistor symbol,
Resistors,R18,442,,,Generic resistor symbol,Audio
Resistors,R19,442,,,Generic resistor symbol,Audio
Resistors,R20,221,,,Generic resistor symbol,Audio
Resistors,R21,442,,,Generic resistor symbol,Audio
Resistors,R22,221,,,Generic resistor symbol,Audio
Resistors,R23,442,,,Generic resistor symbol,Audio
Resistors,R24,221,,,Generic resistor symbol,Audio
Resistors,R25,442,,,Generic resistor symbol,Audio
Resistors,R26,221,,,Generic resistor symbol,Audio
Resistors,R27,442,,,Generic resistor symbol,Audio
Resistors,R28,221,,,Generic resistor symbol,Audio
Resistors,R29,442,,,Generic resistor symbol,Audio
Resistors,R30,221,,,Generic resistor symbol,Audio
Resistors,R31,442,,,Generic resistor symbol,Audio
Resistors,R32,221,,,Generic resistor symbol,Audio
Resistors,R33,442,,,Generic resistor symbol,Audio
Resistors,R34,75,,,Generic resistor symbol,
Resistors,R40,220,,,Generic resistor symbol,Audio
Resistors,R41,220,,,Generic resistor symbol,Audio
Integrated Circuits,U1,74HC138,,,3-Line to 8-Line Decoders/Demultiplexers,Audio
Integrated Circuits,U2,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio
Integrated Circuits,U3,7404,,,Hex Inverters,Audio
Integrated Circuits,U4,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio
Integrated Circuits,U5,7404,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04NE4?qs=sGAEpiMZZMutVWjHE%2FYQw8FcJMyir0Lqzet%252BOgibJRs%3D,,Hex Inverters,Video
Integrated Circuits,U6,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio
Integrated Circuits,U7,74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,,3-Line to 8-Line Decoders/Demultiplexers,Audio
Integrated Circuits,U8,74154,,,4-to-16 Line Decoder/Demultiplexer,Audio
Integrated Circuits,U9,74S374,,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio
Integrated Circuits,U10,74273,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NE4?qs=sGAEpiMZZMvxP%252Bvr8KwMwF73%2FSEETFlcw32YC66%252Bjxg%3D,S$0.90,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Audio
