Category,References,Value,Stock Code,Unit Cost,Description,Group Layer
Capacitors,C5,200p,Maplin WX60Q,,220p Ceramic Capacitor,Video
Resistors,R1,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R2,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R3,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R4,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R5,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R6,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R7,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R8,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R9,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R10,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R11,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R12,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R13,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R14,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R15,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R16,PULLUP,,,Digital Primitive Model Of A Pull-Up Resistor,Sprites
Resistors,R21,220,,,Generic resistor symbol,Video
Resistors,R22,220,,,Generic resistor symbol,Video
Resistors,R50,442,,,Generic resistor symbol,Video
Resistors,R51,442,,,Generic resistor symbol,Video
Resistors,R52,221,,,Generic resistor symbol,Video
Resistors,R53,442,,,Generic resistor symbol,Video
Resistors,R54,221,,,Generic resistor symbol,Video
Resistors,R55,442,,,Generic resistor symbol,Video
Resistors,R56,221,,,Generic resistor symbol,Video
Resistors,R57,442,,,Generic resistor symbol,Video
Resistors,R58,75,,,Generic resistor symbol,
Resistors,R60,442,,,Generic resistor symbol,Video
Resistors,R61,442,,,Generic resistor symbol,Video
Resistors,R62,221,,,Generic resistor symbol,Video
Resistors,R63,442,,,Generic resistor symbol,Video
Resistors,R64,221,,,Generic resistor symbol,Video
Resistors,R65,442,,,Generic resistor symbol,Video
Resistors,R66,221,,,Generic resistor symbol,Video
Resistors,R67,442,,,Generic resistor symbol,Video
Resistors,R68,75,,,Generic resistor symbol,
Resistors,R70,442,,,Generic resistor symbol,Video
Resistors,R71,442,,,Generic resistor symbol,Video
Resistors,R72,221,,,Generic resistor symbol,Video
Resistors,R73,442,,,Generic resistor symbol,Video
Resistors,R74,221,,,Generic resistor symbol,Video
Resistors,R75,442,,,Generic resistor symbol,Video
