Category,References,Value,Stock Code,Unit Cost,Description,Group Layer,PCB Package
Resistors,R208,200,,,Generic resistor symbol,,RES40
Integrated Circuits,U1,74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161AN?qs=sGAEpiMZZMtdY2G%252BSI3N4ULNIy7IUD05%2FJSW%252B139gsI%3D ,,Synchronous 4-Bit Binary Counters,,DIL16
Integrated Circuits,U2,74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161AN?qs=sGAEpiMZZMtdY2G%252BSI3N4ULNIy7IUD05%2FJSW%252B139gsI%3D,,Synchronous 4-Bit Binary Counters,,DIL16
Integrated Circuits,U3,74LS374,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374NE4?qs=sGAEpiMZZMvxP%252Bvr8KwMwF73%2FSEETFlcRt%252BQ%252B9gVRsA%3D,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,,DIL20
Integrated Circuits,U4,74LS02,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS02NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOw9uqInhsB60%3D ,,Quadruple 2-Input Positive-NOR Gates,,DIL14
Integrated Circuits,U5,74LS08,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS08NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOfW4A%252BAFGoNk%3D ,,Quadruple 2-Input Positive-AND Gates,,DIL14
Integrated Circuits,U6,74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161AN?qs=sGAEpiMZZMtdY2G%252BSI3N4ULNIy7IUD05%2FJSW%252B139gsI%3D ,,Synchronous 4-Bit Binary Counters,,DIL16
Integrated Circuits,U7,74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161AN?qs=sGAEpiMZZMtdY2G%252BSI3N4ULNIy7IUD05%2FJSW%252B139gsI%3D ,,Synchronous 4-Bit Binary Counters,,DIL16
Integrated Circuits,U8,74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161AN?qs=sGAEpiMZZMtdY2G%252BSI3N4ULNIy7IUD05%2FJSW%252B139gsI%3D ,,Synchronous 4-Bit Binary Counters,,DIL16
Integrated Circuits,U9,74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161AN?qs=sGAEpiMZZMtdY2G%252BSI3N4ULNIy7IUD05%2FJSW%252B139gsI%3D ,,Synchronous 4-Bit Binary Counters,,DIL16
Integrated Circuits,U10,74LS374,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374NE4?qs=sGAEpiMZZMvxP%252Bvr8KwMwF73%2FSEETFlcRt%252BQ%252B9gVRsA%3D,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,,DIL20
Integrated Circuits,U11,74LS02,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS02NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOw9uqInhsB60%3D ,,Quadruple 2-Input Positive-NOR Gates,,DIL14
Integrated Circuits,U12,74LS04,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04NE4?qs=sGAEpiMZZMutVWjHE%2FYQw8FcJMyir0Lqzet%252BOgibJRs%3D,,Hex Inverters,,DIL14
Integrated Circuits,U13,74LS32,,,Quad 2-input positive-OR gates,,DIL14
Integrated Circuits,U14,74LS32,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmO7x4PfQeTHF4%3D,,Quad 2-input positive-OR gates,,DIL14
