Part ID,Package,Layer,Rotation,X,Y,X (mil),Y (mil)
8L7R,DIL28,TOP,-90,4532.28,-5374.41,4532.28mil,-5374.41mil
8N7R,DIL28,TOP,-90,4532.28,-6949.21,4532.28mil,-6949.21mil
8R7R,DIL28,TOP,-90,4532.28,-8524.02,4532.28mil,-8524.02mil
2,DIL14,TOP,270,4000,-7000,4000mil,-7000mil
4,DIL14,TOP,270,3600,-7000,3600mil,-7000mil
4P7R,DIL28,TOP,270,3050,-7350,3050mil,-7350mil
5N7,DIL16,TOP,270,4000,-5500,4000mil,-5500mil
5P7,DIL14,TOP,180,3600,-6400,3600mil,-6400mil
5R7,DIL14,TOP,270,3600,-5550,3600mil,-5550mil
5S7,DIL16,TOP,270,3050,-6100,3050mil,-6100mil
6R7,DIL14,TOP,270,2650,-6050,2650mil,-6050mil
6S7,DIL20,TOP,270,2500,-7150,2500mil,-7150mil
7L7,DIL16,TOP,270,5050,-5500,5050mil,-5500mil
7M7,DIL16,TOP,270,5050,-6550,5050mil,-6550mil
7N7,DIL16,TOP,270,5050,-7450,5050mil,-7450mil
7P7,DIL16,TOP,270,5450,-7450,5450mil,-7450mil
7R7,DIL16,TOP,270,5050,-8350,5050mil,-8350mil
7S7,DIL16,TOP,270,5450,-8350,5450mil,-8350mil
U1,DIL16,TOP,270,2100,-7050,2100mil,-7050mil
U2,DIL16,TOP,270,1850,-7900,1850mil,-7900mil
U3,DIL16,TOP,270,2250,-8100,2250mil,-8100mil
U4,DIL16,TOP,270,2250,-6100,2250mil,-6100mil
U6,DIL16,TOP,270,1850,-6100,1850mil,-6100mil
U7,DIL16,TOP,270,3600,-7900,3600mil,-7900mil
U8,DIL16,TOP,270,4000,-8100,4000mil,-8100mil
U9,DIL14,TOP,180,2550,-5450,2550mil,-5450mil
U11,DIL20,TOP,270,2650,-8650,2650mil,-8650mil
U12,DIL16,TOP,270,3050,-8550,3050mil,-8550mil
U16,DIL20,TOP,270,3450,-8950,3450mil,-8950mil
U18,DIL20,TOP,270,3850,-9100,3850mil,-9100mil
U19,DIL16,TOP,270,3200,-5200,3200mil,-5200mil
U20,DIL16,TOP,270,1850,-8850,1850mil,-8850mil
U21,DIL16,TOP,270,2250,-9000,2250mil,-9000mil
U22,DIL16,TOP,270,3050,-9450,3050mil,-9450mil
U23,DIL16,TOP,270,3600,-4700,3600mil,-4700mil
U24,DIL16,TOP,0,2550,-5050,2550mil,-5050mil
U25,DIL16,TOP,270,2650,-9650,2650mil,-9650mil
U26,DIL16,TOP,270,3450,-9950,3450mil,-9950mil
U27,DIL20,TOP,270,5450,-6450,5450mil,-6450mil
U63,DIL16,TOP,270,1900,-5200,1900mil,-5200mil
U64,DIL16,TOP,0,2550,-4650,2550mil,-4650mil
U65,DIL20,TOP,270,1850,-9850,1850mil,-9850mil
U66,DIL20,TOP,270,4000,-4500,4000mil,-4500mil
U68,DIL16,TOP,0,2550,-4250,2550mil,-4250mil
U69,DIL16,TOP,270,3200,-4300,3200mil,-4300mil
U70,DIL16,TOP,270,2250,-9950,2250mil,-9950mil
U81,DIL20,TOP,270,5750,-5400,5750mil,-5400mil
U82,DIL20,TOP,180,4750,-4400,4750mil,-4400mil
U88,DIL16,TOP,270,1900,-4300,1900mil,-4300mil
U92,DIL14,TOP,270,4250,-9700,4250mil,-9700mil
U93,DIL14,TOP,270,4650,-9900,4650mil,-9900mil
U230,DIL16,TOP,270,1500,-4300,1500mil,-4300mil
U231,DIL16,TOP,0,3950,-3750,3950mil,-3750mil
U232,DIL20,TOP,180,4900,-4000,4900mil,-4000mil
U233,DIL20,TOP,270,5650,-4300,5650mil,-4300mil
U234,DIL16,TOP,180,5000,-3600,5000mil,-3600mil
U235,DIL16,TOP,0,3000,-3650,3000mil,-3650mil
