Part ID,Package,Layer,Rotation,X,Y
R1,RES40,TOP,0,-800,-5150
R2,RES40,TOP,0,-800,-5300
R3,RES40,TOP,0,-800,-5450
R4,RES40,TOP,0,-800,-5600
R5,RES40,TOP,0,-800,-5750
R6,RES40,TOP,0,-800,-5900
R7,RES40,TOP,0,-800,-6050
R8,RES40,TOP,0,-800,-6200
R9,RES40,TOP,0,-800,-6750
R10,RES40,TOP,0,-800,-6900
R11,RES40,TOP,0,-800,-7050
R12,RES40,TOP,0,-800,-7200
R13,RES40,TOP,0,-800,-7350
R14,RES40,TOP,0,-800,-7500
R15,RES40,TOP,0,-800,-7650
R16,RES40,TOP,0,-800,-7800
BANKSEL1,CONN-SIL2,TOP,-180,-5450,-3250
4A,DIL18,TOP,-90,-1704.72,-7150
4B,DIL18,TOP,-90,-2104.72,-7150
4C,DIL18,TOP,-90,-1704.72,-5550
4D,DIL18,TOP,-90,-2104.72,-5550
U77,DIL24NAR,TOP,-90,-1300,-5700
U78,DIL24NAR,TOP,-90,-1300,-7300
7JR,DIL28,TOP,-90,-2650,-9400
7LR,DIL28,TOP,-90,-1950,-9400
7MR,DIL28,TOP,-90,-2650,-10900
7MR2,DIL28,TOP,-90,-1950,-10900
U79,DIL24NAR,TOP,-90,-4400,-9500
R17,RES40,TOP,0,-3750,-7900
R18,RES40,TOP,0,-3750,-8050
R19,RES40,TOP,0,-3750,-8200
R20,RES40,TOP,0,-3750,-8350
EXPANSIONBUSP3,09021646921,TOP,-90,-5925.1,-5150
VIDEOP3,09021646921,TOP,-90,-5925.1,-9200
PIXEL1,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-4700,-3300
JP2,CONN-SIL2,TOP,-90,-4200,-3250
JP3,CONN-SIL2,TOP,-90,-4100,-3250
JP4,CONN-SIL2,TOP,-90,-4000,-3250
JP5,CONN-SIL2,TOP,-90,-3900,-3250
JP6,CONN-SIL2,TOP,-90,-3800,-3250
JP7,CONN-SIL2,TOP,-90,-3700,-3250
JP8,CONN-SIL2,TOP,-90,-3600,-3250
JP9,CONN-SIL2,TOP,-90,-3500,-3250
2F,DIL20,TOP,270,-4800,-9250
U19,DIL20,TOP,270,-3200,-10650
U45,DIL20,TOP,270,-3600,-10300
U53,DIL20,TOP,270,-4000,-10300
U58,DIL20,TOP,270,-4400,-10700
5H,DIL20,TOP,270,-4200,-8300
6F,DIL20,TOP,270,-5200,-9250
L6E,DIL20,TOP,270,-4800,-10350
U281,DIL20,TOP,270,-2500,-5500
1A,DIL16,TOP,270,-2900,-5400
2A,DIL16,TOP,270,-2500,-7100
2D,DIL16,TOP,0,-2000,-6200
1B,DIL16,TOP,270,-3300,-5400
2B,DIL16,TOP,270,-2900,-7100
2C,DIL16,TOP,270,-3700,-5400
1D,DIL16,TOP,270,-4600,-8200
3A,DIL16,TOP,0,-2000,-7800
3B,DIL16,TOP,270,-3300,-7100
3C,DIL16,TOP,270,-3700,-6800
3D,DIL16,TOP,0,-2850,-6450
5F,DIL16,TOP,270,-5200,-10250
L5E,DIL16,TOP,270,-5000,-8200
5J,DIL16,TOP,270,-3800,-9150
5K,DIL16,TOP,270,-3400,-9150
5L,DIL16,TOP,0,-3800,-11300
5R,DIL16,TOP,270,-3300,-8200
5S,DIL16,TOP,270,-2900,-8200
6A,DIL16,TOP,180,-2000,-8200
6B,DIL16,TOP,0,-3900,-7550
6C,DIL16,TOP,0,-4300,-7150
6D,DIL16,TOP,270,-4200,-6550
6J,DIL16,TOP,270,-1400,-9450
6K,DIL16,TOP,270,-1300,-8550
6L,DIL16,TOP,270,-1400,-10750
6M,DIL16,TOP,270,-900,-8550
6R,DIL16,TOP,270,-5000,-7300
6S,DIL16,TOP,270,-4600,-6550
6T,DIL16,TOP,270,-4150,-5600
7S,DIL16,TOP,270,-5000,-6400
L2E,DIL16,TOP,270,-4550,-5600
7F,DIL16,TOP,180,-5050,-11050
U49,DIL16,TOP,270,-1000,-9450
7H,DIL16,TOP,180,-5050,-11450
U48,DIL16,TOP,0,-3300,-6000
7N,DIL16,TOP,270,-4950,-5500
7B,DIL14,TOP,90,-5350,-5600
7T,DIL14,TOP,270,-5200,-4700
L7E,DIL16,TOP,0,-1150,-10100
U22,DIL16,TOP,270,-1000,-10750
U46,DIL16,TOP,270,-4700,-4650
4H,DIL14,TOP,270,-4250,-4700
U47,DIL16,TOP,270,-3850,-4500
6H,DIL14,TOP,270,-4300,-3900
U50,DIL16,TOP,270,-3450,-4500
U56,DIL16,TOP,270,-3050,-4500
U85,DIL16,TOP,180,-4950,-3950
3H,DIL14,TOP,270,-2650,-4550
7A,DIL14,TOP,270,-2200,-4550
7D,DIL14,TOP,270,-1800,-4550
U5,DIL14,TOP,270,-1400,-4550
U13,DIL14,TOP,0,-3650,-3750
U20,DIL14,TOP,0,-2900,-3400
U51,DIL14,TOP,180,-2900,-3800
U15,DIL14,TOP,270,-1000,-4550
U21,DIL14,TOP,180,-1750,-3950
U80,DIL14,TOP,180,-1250,-11350
