Part ID,Package,Layer,Rotation,X,Y
BANKSEL2,CONN-SIL2,TOP,-180,1500,-3250
8L7R,DIL28,TOP,-90,4400,-5000
8N7R,DIL28,TOP,-90,4400,-6500
8R7R,DIL28,TOP,-90,4400,-8000
8S7R,DIL28,TOP,-90,4400,-9500
4P7R,DIL28,TOP,-90,2800,-9500
EXPANSIONBUSP4,09021646921,TOP,-90,1074.9,-5150
VIDEOP4,09021646921,TOP,-90,1074.9,-9200
PIXEL3,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,4210.63,-3298.03
PIXEL4,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,5194.88,-3298.03
JP26,CONN-SIL2,TOP,-90,1900,-3300
JP27,CONN-SIL2,TOP,-90,2000,-3300
JP28,CONN-SIL2,TOP,-90,2100,-3300
JP29,CONN-SIL2,TOP,-90,2200,-3300
JP30,CONN-SIL2,TOP,-90,2300,-3300
JP31,CONN-SIL2,TOP,-90,2400,-3300
JP32,CONN-SIL2,TOP,-90,2500,-3300
JP33,CONN-SIL2,TOP,-90,2600,-3300
JP34,CONN-SIL2,TOP,-90,2850,-3300
JP35,CONN-SIL2,TOP,-90,2950,-3300
JP36,CONN-SIL2,TOP,-90,3050,-3300
JP37,CONN-SIL2,TOP,-90,3150,-3300
JP38,CONN-SIL2,TOP,-90,3250,-3300
JP39,CONN-SIL2,TOP,-90,3350,-3300
JP40,CONN-SIL2,TOP,-90,3450,-3300
JP41,CONN-SIL2,TOP,-90,3550,-3300
U11,DIL20,TOP,270,2250,-9100
U16,DIL20,TOP,270,3850,-8250
U18,DIL20,TOP,270,3450,-8450
U27,DIL20,TOP,270,3050,-8200
U39,DIL20,TOP,270,2650,-8200
6S7,DIL20,TOP,270,1850,-9100
U3,DIL16,TOP,270,3850,-6600
U12,DIL16,TOP,270,3450,-6600
U65,DIL20,TOP,270,2250,-8000
U66,DIL20,TOP,270,1850,-8000
U81,DIL20,TOP,180,2050,-7250
U82,DIL20,TOP,180,2050,-6850
U232,DIL20,TOP,270,1800,-6150
U233,DIL20,TOP,270,2200,-6150
U283,DIL20,TOP,180,3650,-3800
5N7,DIL16,TOP,270,3850,-4450
5S7,DIL16,TOP,270,3450,-4450
7L7,DIL16,TOP,270,3850,-5350
7M7,DIL16,TOP,0,3650,-5950
7L72,DIL16,TOP,270,3850,-9250
7M72,DIL16,TOP,270,3450,-9450
U59,DIL16,TOP,270,3450,-5350
7N7,DIL16,TOP,0,3650,-7250
7P7,DIL16,TOP,270,3050,-6600
7R7,DIL16,TOP,270,4950,-8350
7S7,DIL16,TOP,270,4950,-7400
U1,DIL16,TOP,270,2650,-6250
U2,DIL16,TOP,270,3050,-5350
U4,DIL16,TOP,270,2600,-5350
U93,DIL14,TOP,270,3050,-4500
U6,DIL16,TOP,270,2200,-5150
U7,DIL16,TOP,270,1800,-5150
U8,DIL16,TOP,270,2600,-4450
U63,DIL16,TOP,270,2250,-10100
U64,DIL16,TOP,270,1850,-10100
U68,DIL16,TOP,270,2650,-10700
U69,DIL16,TOP,90,2200,-4200
U70,DIL16,TOP,270,1800,-4250
U88,DIL16,TOP,270,4950,-5050
U230,DIL16,TOP,270,5350,-6600
U231,DIL16,TOP,270,4950,-6400
U234,DIL16,TOP,270,3050,-10700
U235,DIL16,TOP,270,5750,-6600
5P7,DIL14,TOP,90,5350,-7400
5R7,DIL14,TOP,180,3600,-10050
6R7,DIL14,TOP,270,3450,-10650
U9,DIL14,TOP,0,5150,-5750
U43,DIL14,TOP,270,5750,-5400
U44,DIL14,TOP,270,5350,-5100
U55,DIL14,TOP,270,5750,-7450
U92,DIL14,TOP,270,5350,-8300
U285,DIL14,TOP,270,5750,-8300
U400,DIL14,TOP,270,4950,-9300
