Part ID,Value,Package,Layer,Rotation,X,Y
VIDCLK,555,DIL08,TOP,-90,-4650,-850
1T,7408,DIL14,TOP,270,-5100,50
2T,7404,DIL14,TOP,180,-5200,650
3T,7474,DIL14,TOP,270,-3650,50
4N,7410,DIL14,TOP,270,-3250,50
4P,7474,DIL14,TOP,270,-2400,-200
4R,7404,DIL14,TOP,270,-2400,-1000
4S,7474,DIL14,TOP,270,-2000,-200
5P,7474,DIL14,TOP,270,-2850,0
U23,7402,DIL14,TOP,270,-2450,-1800
U237,74LS86,DIL14,TOP,270,-1600,-900
U24,7432,DIL14,TOP,0,-1300,2350
U247,7408,DIL14,TOP,270,-1250,-1800
U25,7402,DIL14,TOP,270,-1200,600
U52,7404,DIL14,TOP,270,-3500,3900
U54,7432,DIL14,TOP,0,-3350,650
U67,7408,DIL14,TOP,270,-2000,-1000
U73,7402,DIL14,TOP,270,-1200,-1000
U94,7432,DIL14,TOP,270,-1650,-1800
U95,7474,DIL14,TOP,270,-2050,-1800
3M,74S139,DIL16,TOP,270,-5100,3650
3M8,74148,DIL16,TOP,270,-4500,100
3N,74161,DIL16,TOP,270,-4050,-1050
3P,74161,DIL16,TOP,180,-3900,-1650
3R,74161,DIL16,TOP,270,-3250,-1750
3S,74161,DIL16,TOP,270,-3650,-1050
4M,74HC138,DIL16,TOP,270,-5100,4550
4T,74368,DIL16,TOP,-90,-5250,-800
5F8,74153,DIL16,TOP,270,-4050,100
5H8,74153,DIL16,TOP,270,-2700,2700
5J8,74153,DIL16,TOP,270,-3900,2700
5K8,74153,DIL16,TOP,270,-3100,1800
6D2,74157,DIL16,TOP,0,-4550,1100
6F2,74157,DIL16,TOP,0,-3400,1100
7A2,74LS174,DIL16,TOP,0,-1237.4,4250
7R,74S139,DIL16,TOP,270,-3250,-850
8B2,74LS174,DIL16,TOP,0,-1237.4,3300
8D2,74HC138,DIL16,TOP,270,-1900,1550
U236,7485,DIL16,TOP,270,-2850,-1750
U260,74HC138,DIL16,TOP,270,-2400,650
U261,74HC138,DIL16,TOP,270,-2000,650
U262,74HC138,DIL16,TOP,270,-1600,650
U265,74153,DIL16,TOP,180,-4300,4850
U266,74153,DIL16,TOP,180,-3750,3350
U267,74153,DIL16,TOP,180,-2500,4850
U268,74153,DIL16,TOP,270,-3500,1800
U269,74153,DIL16,TOP,270,-3900,1800
U270,74153,DIL16,TOP,270,-4300,2700
U271,74153,DIL16,TOP,180,-3400,4850
U272,74153,DIL16,TOP,270,-4300,1800
U273,74153,DIL16,TOP,270,-2700,1800
U274,74153,DIL16,TOP,270,-4700,2600
U275,74153,DIL16,TOP,270,-3100,2700
U276,74153,DIL16,TOP,270,-4750,1700
U277,74153,DIL16,TOP,270,-2300,1550
U278,74153,DIL16,TOP,270,-5100,2600
U279,74153,DIL16,TOP,270,-3500,2700
U280,74153,DIL16,TOP,270,-5150,1700
U33,74175,DIL16,TOP,270,-2850,-850
U76,7485,DIL16,TOP,0,-3850,-2050
U87,74S139,DIL16,TOP,270,-2800,900
6A2,2114FAST,DIL18,TOP,270,-3900,4000
6B2,2114FAST,DIL18,TOP,270,-4300,4000
6C2,2114FAST,DIL18,TOP,270,-4700,4000
5E2,74273,DIL20,TOP,270,-1900,3750
7B2,74LS245,DIL20,TOP,270,-2300,3750
7C2,74LS245,DIL20,TOP,270,-1900,2600
U255,74273,DIL20,TOP,270,-5300,-1800
U256,74273,DIL20,TOP,270,-4900,-1850
U259,74273,DIL20,TOP,270,-4500,-1850
U263,74273,DIL20,TOP,270,-2700,3750
U264,74273,DIL20,TOP,270,-3100,3750
U284,74273,DIL20,TOP,90,-2300,2600
