Category,References,Value,Stock Code,Unit Cost,Description,Group Layer,PCB Package,Supplier,Placed
Capacitors,C5,200p,https://www.mouser.sg/ProductDetail/Vishay-Cera-Mite/562R10TST20?qs=1Vd4QiMLiWEhnW3IqIibiA==,,220p Ceramic Capacitor,Audio,CAP20,,Top Copper
Resistors,R1,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R2,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R3,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R4,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R5,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R6,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R7,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R8,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R9,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R10,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R11,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R12,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R13,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R14,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R15,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R16,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R18,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R19,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R20,221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,R21,442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
