Category,References,Value,Stock Code,Unit Cost,Description,Group Layer,PCB Package,Supplier,Placed
Capacitors,C5,200p,https://www.mouser.sg/ProductDetail/Vishay-Cera-Mite/562R10TST20?qs=1Vd4QiMLiWEhnW3IqIibiA==,,220p Ceramic Capacitor,Video,CAP20,,Not placed
Resistors,R1,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R2,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R3,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R4,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R5,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R6,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R7,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R8,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R9,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R10,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R11,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R12,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R13,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R14,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R15,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R16,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R17,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R18,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R19,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R20,PULLUP,https://www.mouser.sg/ProductDetail/KOA-Speer/MFS1-4DCT52A3001F?qs=0J7VXftDlT5UxbwvicmnGw%3D%3D,,Digital Primitive Model Of A Pull-Up Resistor,Sprites,RES40,,Not placed
Resistors,R21,220,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55220R00FHEK?qs=UEmB0FaNOjg2TC4qgSAJvQ%3D%3D,,Generic resistor symbol,Video,RES40,,Not placed
