Part ID,Package,Layer,Rotation,X,Y
BANKSEL4,CONN-SIL2,TOP,-180,7150,5300
EXPANSIONBUSP2,09021646921,TOP,-90,6724.9,3450
VIDEOP2,09021646921,TOP,-90,6724.9,-600
PIXEL2,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,9000,5250
U137,DIL28CAP20,TOP,-90,8005,-145
U258,DIL28CAP20,TOP,-90,8705,-145
8H6R,DIL28CAP20,TOP,-90,9455,3505
8K6R,DIL28CAP20,TOP,-90,10155,3505
8N6R,DIL28CAP20,TOP,-90,9455,1905
L8E6R,DIL28CAP20,TOP,-90,10155,1905
DSW2,SW-DIP8,TOP,180,8000,5150
DSW3,SW-DIP8,TOP,180,9950,5150
U28,DIL20CAP20,TOP,270,8905,3255
U35,DIL20CAP20,TOP,270,8505,3255
U36,DIL20CAP20,TOP,270,8105,3255
U40,DIL20CAP20,TOP,270,8905,2055
U221,DIL20CAP20,TOP,270,8505,2055
U257,DIL20CAP20,TOP,270,8105,2055
4L6,DIL20CAP20,TOP,270,7705,2055
U32,DIL16CAP20,TOP,270,7705,3355
U154,DIL16CAP20,TOP,180,8105,1295
U155,DIL16CAP20,TOP,180,8105,895
5L6,DIL20CAP20,TOP,270,7405,855
U30,DIL16CAP20,TOP,90,7295,2145
U31,DIL16CAP20,TOP,90,7295,3495
U60,DIL20CAP20,TOP,0,8145,4105
U61,DIL20CAP20,TOP,0,8145,4505
U282,DIL20CAP20,TOP,180,9455,4745
U289,DIL20CAP20,TOP,270,10705,2055
U290,DIL20CAP20,TOP,270,11105,2055
4M6,DIL16CAP20,TOP,270,10705,3155
6F6,DIL16CAP20,TOP,270,11105,3155
7D6,DIL16CAP20,TOP,270,11505,2155
L7E6,DIL16CAP20,TOP,270,11905,2155
7F6,DIL16CAP20,TOP,270,11505,3155
7H6,DIL16CAP20,TOP,270,11905,3155
7J6,DIL16CAP20,TOP,270,10705,4155
7K6,DIL16CAP20,TOP,270,11105,4155
U29,DIL16CAP20,TOP,0,9245,905
U33,DIL16CAP20,TOP,270,9255,-345
U37,DIL16CAP20,TOP,270,10705,955
U38,DIL16CAP20,TOP,270,10105,555
U57,DIL16CAP20,TOP,270,11105,955
U62,DIL16CAP20,TOP,270,9705,155
U83,DIL16CAP20,TOP,270,7405,-345
U84,DIL16CAP20,TOP,90,7245,-1305
U86,DIL16CAP20,TOP,270,7655,-1445
6P6,DIL14CAP20,TOP,270,8055,-1395
U248,DIL16CAP20,TOP,90,7295,4495
U249,DIL16CAP20,TOP,270,8455,-1445
U251,DIL16CAP20,TOP,270,8855,-1445
U252,DIL16CAP20,TOP,270,9255,-1445
U288,DIL16CAP20,TOP,270,9705,-1345
U253,DIL16CAP20,TOP,180,9955,-505
U254,DIL16CAP20,TOP,270,10105,-1345
U286,DIL16CAP20,TOP,270,10705,-345
U287,DIL16CAP20,TOP,270,11155,-345
6N2,DIL14CAP20,TOP,270,11505,905
6N6,DIL14CAP20,TOP,270,10555,-1295
U10,DIL14CAP20,TOP,270,11905,905
U17,DIL14CAP20,TOP,270,11555,-295
U41,DIL14CAP20,TOP,270,10955,-1295
U42,DIL14CAP20,TOP,270,11355,-1295
U90,DIL14CAP20,TOP,270,11755,-1295
U91,DIL14CAP20,TOP,270,11955,-295
