Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSP6,09021646921,TOP,-90,-19392.8,-5150
VIDEOP6,09021646921,TOP,-90,-19392.8,-9200
BANKSEL3,CONN-SIL2,TOP,-180,-18900,-3250
PIXEL6,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-18150,-3300
R23,RES40,TOP,0,-12500,-5450
R24,RES40,TOP,0,-12500,-5600
R25,RES40,TOP,0,-12500,-5750
R26,RES40,TOP,0,-12500,-5900
R27,RES40,TOP,0,-12500,-6050
R28,RES40,TOP,0,-12500,-6200
R29,RES40,TOP,0,-12500,-6350
R30,RES40,TOP,0,-12500,-6500
R31,RES40,TOP,0,-12500,-7000
R32,RES40,TOP,0,-12500,-7150
R33,RES40,TOP,0,-12500,-7300
R34,RES40,TOP,0,-12500,-7450
R35,RES40,TOP,0,-12500,-7600
R36,RES40,TOP,0,-12500,-7750
R37,RES40,TOP,0,-12500,-7900
R38,RES40,TOP,0,-12500,-8050
U307,DIL24NARCAP20,TOP,-90,-12995,-5945
U355,DIL24NARCAP20,TOP,-90,-12995,-7495
U372,DIL28CAP20,TOP,-90,-16995,-9045
U373,DIL28CAP20,TOP,-90,-16295,-9045
U374,DIL28CAP20,TOP,-90,-16995,-10595
U375,DIL28CAP20,TOP,-90,-16295,-10595
DSW7,SW-DIP8,TOP,270,-18835,-3950
DSW10,SW-DIP2,TOP,-90,-18800,-8300
OSC1,SQRWIDOSCDIL14,TOP,90,-18800,-8850
U344,DIL28CAP20,TOP,270,-13545,-7495
U362,DIL20CAP20,TOP,270,-18345,-7695
U364,DIL20CAP20,TOP,270,-17945,-7695
U365,DIL20CAP20,TOP,270,-17495,-7695
U371,DIL20CAP20,TOP,270,-17095,-7695
U313,DIL24NARCAP20,TOP,270,-13395,-5995
U317,DIL20CAP20,TOP,270,-16695,-7695
U301,DIL20CAP20,TOP,270,-13795,-6095
U311,DIL20CAP20,TOP,270,-18345,-4195
U321,DIL20CAP20,TOP,270,-14195,-6095
U322,DIL20CAP20,TOP,270,-14595,-6095
U323,DIL20CAP20,TOP,270,-14995,-6095
U329,DIL20CAP20,TOP,270,-15395,-6095
U324,DIL20CAP20,TOP,270,-15795,-6145
U325,DIL20CAP20,TOP,270,-16195,-6145
U326,DIL20CAP20,TOP,270,-16295,-7345
U327,DIL20CAP20,TOP,270,-15895,-7345
U328,DIL20CAP20,TOP,270,-16595,-6145
U369,DIL16CAP20,TOP,270,-17095,-6245
U341,DIL20CAP20,TOP,270,-15395,-7345
U292,DIL16CAP20,TOP,270,-14995,-7245
U295,DIL16CAP20,TOP,270,-14595,-7245
U296,DIL16CAP20,TOP,270,-14195,-7245
U297,DIL16CAP20,TOP,0,-14455,-7945
U298,DIL16CAP20,TOP,270,-13795,-4995
U376,DIL16CAP20,TOP,270,-17495,-6445
