Part ID,Package,Layer,Rotation,X,Y
VID1,CONN-DIL8,TOP,90,643.701,-1001.18
VIDCLK,DIL08,TOP,-90,-2924.41,-2166.93
X2,XTAL18,TOP,0,-3024.41,-1766.93
R21,RES40,TOP,270,-3224.41,-2166.93
R22,RES40,TOP,-90,-2624.41,-2166.93
C5,CAP20,TOP,180,-2974.41,-2516.93
JP1,CONN-SIL2,TOP,-90,-2724.41,-1766.93
INRAMSEL1,CONN-SIL8,TOP,-180,-5600,5300
JR1,1610098E,TOP,-90,111.417,4757.48
JG1,1610098E,TOP,-90,111.417,3823.23
JB1,1610098E,TOP,-90,111.417,2881.1
HSYNC1,1610098E,TOP,-90,111.417,2100
VSYNC1,1610098E,TOP,-90,111.417,1318.9
TVSYNC1,1610098E,TOP,-90,111.417,525.197
CSYNC1,1610098E,TOP,-90,111.417,-262.205
R50,RES40,TOP,-90,-1050,4725
R51,RES40,TOP,-90,-925,4725
R52,RES40,TOP,-90,-800,4725
R53,RES40,TOP,-90,-675,4725
R54,RES40,TOP,-90,-550,4725
R55,RES40,TOP,-90,-425,4725
R56,RES40,TOP,-90,-300,4725
R57,RES40,TOP,-90,-175,4725
R60,RES40,TOP,-90,-1050,3775
R61,RES40,TOP,-90,-925,3775
R62,RES40,TOP,-90,-800,3775
R63,RES40,TOP,-90,-675,3775
R64,RES40,TOP,-90,-550,3775
R65,RES40,TOP,-90,-425,3775
R66,RES40,TOP,-90,-300,3775
R67,RES40,TOP,-90,-175,3775
R70,RES40,TOP,-90,-1050,2825
R71,RES40,TOP,-90,-925,2825
R72,RES40,TOP,-90,-800,2825
R73,RES40,TOP,-90,-675,2825
R74,RES40,TOP,-90,-550,2825
R75,RES40,TOP,-90,-425,2825
R76,RES40,TOP,-90,-300,2825
R77,RES40,TOP,-90,-175,2825
RV2,PRE-MT0.75,TOP,-180,373.228,4226.77
RV3,PRE-MT0.75,TOP,-180,373.228,3276.77
RV1,PRE-MT0.75,TOP,-180,373.228,5176.77
R104,RES40,TOP,-90,250,-950
R105,RES40,TOP,-90,100,-950
EXPANSIONBUSP1,09021646921,TOP,-90,-6275.1,3450
VIDEOP1,09021646921,TOP,-90,-6275.1,-600
VID2,23115864,TOP,90,350,-1920.08
LAYER1,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-4600,5250
LAYER2,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-3600,5250
LAYER3,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-2600,5250
LAYER4,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-1600,5250
U26,DIL24NARCAP20,TOP,-90,-1495,4355
U34,DIL24NARCAP20,TOP,-90,-1495,2955
7A2,DIL16CAP20,TOP,0,-605,4255
8B2,DIL16CAP20,TOP,0,-605,3305
4T,DIL16CAP20,TOP,-90,-3545,-2095
3T,DIL14CAP20,TOP,-90,-2295,-2095
L5E2,DIL20CAP20,TOP,-90,-2795,3055
5F8,DIL16CAP20,TOP,-90,-3245,3155
5H8,DIL16CAP20,TOP,-90,-3645,3155
5J8,DIL16CAP20,TOP,-90,-3645,2155
5K8,DIL16CAP20,TOP,-90,-3245,2155
U284,DIL20CAP20,TOP,-270,-355,-1355
7B2,DIL20CAP20,TOP,270,-1895,4105
7C2,DIL20CAP20,TOP,270,-1895,2805
U213,DIL20CAP20,TOP,270,-2295,2805
