Pre-production check start.
File: C:\Work\BombJack\V8.0\Bomb Jack - All - Routed.pdsprj
Date: 17 November 2021, 09:58:27

SKIPPED: Board edge

SKIPPED: Components board placement

TEST: Connectivity
Missing connection: U100:13, U99:4
Missing connection: U97:6, U102:14
Missing connection: U104:9, U106:12
Missing connection: U105:5, U110:3
Missing connection: U120:17, U119:13
Missing connection: U129:8, U130:10
Missing connection: U139:5, U143:6
Missing connection: U142:2, U145:3
Missing connection: U207:17, U240:6
Missing connection: U208:16, U240:10
Missing connection: U207:18, U240:10
Missing connection: U71:17, U240:5
Missing connection: U71:18, U240:11
Missing connection: VIDEOH1:A26, 6N2:5
Missing connection: 4T:11, VIDEOP4:A26
Missing connection: VIDEOP4:A26, VIDEOP5:A26
Missing connection: 4T:11, VIDEOP3:A26
Missing connection: VIDEOP5:A26, VIDEOP2:A26
Missing connection: VIDEOP6:A26, VIDEOP3:A26
Missing connection: U255:11, U281:11
Missing connection: VIDEOH1:B27, L7E6:11
Missing connection: 3H:12, VIDEOP4:B27
Missing connection: 7N7:11, VIDEOP5:B27
Missing connection: U311:11, VIDEOP3:B27
Missing connection: VIDEOP2:B27, 5P7:9
Missing connection: U82:2, U265:3
Missing connection: PIXEL4:9, PIXEL5:9
Missing connection: U82:5, U265:13
Missing connection: PIXEL4:7, PIXEL5:7
Missing connection: U82:6, U270:3
Missing connection: PIXEL4:5, PIXEL5:5
Missing connection: U82:9, U270:13
Missing connection: PIXEL4:10, PIXEL5:10
Missing connection: U82:12, U271:3
Missing connection: PIXEL4:8, PIXEL5:8
Missing connection: U82:15, U271:13
Missing connection: PIXEL4:6, PIXEL5:6
Missing connection: U82:16, U268:3
Missing connection: PIXEL4:4, PIXEL5:4
Missing connection: U82:19, U268:13
Missing connection: PIXEL4:3, PIXEL5:3
Missing connection: U283:9, U270:12
Missing connection: U283:12, U267:4
Missing connection: U283:15, U267:12
Missing connection: PIXEL3:4, U268:4
Missing connection: PIXEL3:3, U268:12
Missing connection: VIDEOP2:A24, VIDEOH1:A24
