Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSH1,09022646824,TOP,-90,-104.665,57.15
VIDEOH1,09022646824,TOP,-90,-104.665,-45.72
EXPANSIONBUSH2,09022646824,TOP,-90,-84.345,57.15
EXPANSIONBUSH3,09022646824,TOP,-90,-64.025,57.15
EXPANSIONBUSH4,09022646824,TOP,-90,-43.705,57.15
VIDEOH2,09022646824,TOP,-90,-84.345,-45.72
VIDEOH3,09022646824,TOP,-90,-64.025,-45.72
VIDEOH4,09022646824,TOP,-90,-43.705,-45.72
EXPANSIONBUSA1,CONN-DIL34,TOP,90,75.9699,-17.62
EXPANSIONBUSC1,CONN-SIL2,TOP,90,74.74,-46.4299
EXPANSIONBUSB1,CONN-DIL8,TOP,90,75.9699,14.13
ROWCOL1,CONN-DIL20,TOP,90,75.82,37.2699
VIDEO1,CONN-DIL20,TOP,90,76.2,-66.04
EXPANSIONBUSH5,09022646824,TOP,-90,-23.385,57.15
VIDEOH5,09022646824,TOP,-90,-23.385,-45.72
EXPANSIONBUSH6,09022646824,TOP,-90,-3.06499,57.15
VIDEOH6,09022646824,TOP,-90,-3.06499,-45.72
EXPANSIONBUSH7,09022646824,TOP,-90,17.255,57.15
VIDEOH7,09022646824,TOP,-90,17.255,-45.72
EXPANSIONBUSH8,09022646824,TOP,-90,37.575,57.15
VIDEOH8,09022646824,TOP,-90,37.575,-45.72
POWER 5V,163179PHEX,TOP,-180,74.5401,100.51
D204,LED,TOP,-180,59.69,102.87
R208,RES40,TOP,-90,53.34,99.06
J1,CUI_PJ079AH,TOP,-180,78.405,84.4349
C1,CAPPRD500W60D800H1500,TOP,0,58.5079,81.915
C2,CAPPRD500W60D800H1500,TOP,0,58.5079,68.58
