Part ID,Package,Layer,Rotation,X,Y
BANKSEL4,CONN-SIL2,TOP,-180,-177.8,123.19
J2,1610098E,TOP,-90,135.25,45.4299
J1,1610098E,TOP,-90,135.25,108.53
R16,RES40,TOP,-90,123.5,118.45
R1,RES40,TOP,270,86.1901,108.45
R2,RES40,TOP,270,88.6899,118.45
R3,RES40,TOP,270,91.1901,108.45
R4,RES40,TOP,270,93.6899,118.45
R5,RES40,TOP,270,96.1901,108.45
R6,RES40,TOP,270,98.6899,118.45
R7,RES40,TOP,270,101.19,108.45
R8,RES40,TOP,270,103.69,118.45
R9,RES40,TOP,270,106.19,108.45
R10,RES40,TOP,270,108.69,118.45
R11,RES40,TOP,270,111.19,108.45
R12,RES40,TOP,270,113.69,118.45
R13,RES40,TOP,270,116.19,108.45
R14,RES40,TOP,270,118.69,118.45
R15,RES40,TOP,270,121.19,108.45
R18,RES40,TOP,270,86.3999,34.45
R19,RES40,TOP,270,88.9,44.45
R20,RES40,TOP,270,91.4001,34.45
R21,RES40,TOP,270,93.9,44.45
R22,RES40,TOP,270,96.4001,34.45
R23,RES40,TOP,270,98.9,44.45
R24,RES40,TOP,270,101.4,34.45
R25,RES40,TOP,270,103.9,44.45
R26,RES40,TOP,270,106.4,34.45
R27,RES40,TOP,270,108.9,44.45
R28,RES40,TOP,270,111.4,34.45
R29,RES40,TOP,270,113.9,44.45
R30,RES40,TOP,270,116.4,34.45
R31,RES40,TOP,270,118.9,44.45
R32,RES40,TOP,270,121.4,34.45
R33,RES40,TOP,270,123.71,44.45
EXPANSIONBUSP1,09021646921,TOP,-90,-192.408,74.93
VIDEOP1,09021646921,TOP,-90,-192.408,-27.94
DSW1,SW-DIP8,TOP,270,-177.8,105.41
U2,DIL20CAP20,TOP,-90,71.247,109.347
U85,DIL20CAP20,TOP,-90,69.977,35.687
U81,DIL28CAP20,TOP,-90,56.007,104.267
U82,DIL28CAP20,TOP,-90,56.007,30.607
SAMP1,DIL28CAP20,TOP,-90,-32.893,-18.923
J3,SJ13523NG,TOP,-180,144.388,77.47
R17,RES40,TOP,-90,86.36,71.12
R34,RES40,TOP,-90,90.17,71.12
