Category,Quantity,References,Value,Stock Code,Unit Cost,Description,Group Layer,PCB Package,Supplier,Placed
Resistors,27,"R1,R2,R4,R6,R8,R10,R12,R14,R16,R17,R18,R19,R21,R23,R25,R27,R29,R31,R33,R43,R44,R45,R46,R47,R48,R49,R50",442,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55442R00FHEB?qs=gQQ%2FpDEpiRKHk7nNPbIyfA%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Resistors,21,"R3,R5,R7,R9,R11,R13,R15,R20,R22,R24,R26,R28,R30,R32,R34,R35,R36,R37,R38,R39,R42",221,https://www.mouser.sg/ProductDetail/Vishay-Dale/CMF55221R00FKEB?qs=gQ87q99%2FLGLtVGUX15QkBw%3D%3D,,Generic resistor symbol,Audio,RES40,,Top Copper
Integrated Circuits,11,"U1,U7,U8,U19,U20,U26,U72,U204,U206,U207,U208",74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138NE4?qs=sGAEpiMZZMtxONTBFIcRfk9GpaUoLd0ck0Ao35GjMhY%3D,,3-Line to 8-Line Decoders/Demultiplexers,Audio,DIL16CAP20,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Top Copper
Integrated Circuits,26,"U2,U4,U6,U9,U14,U15,U77,U78,U79,U80,U85,U114,U115,U116,U117,U120,U155,U156,U157,U158,U161,U196,U197,U198,U199,U202",74S374,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374NE4?qs=SL3LIuy2dWwBzzpDJsDv8A%3D%3D,,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,Audio,DIL20CAP20,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Top Copper
Integrated Circuits,8,"U3,U17,U123,U125,U164,U166,U211,U213",7404,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04NE4?qs=sGAEpiMZZMutVWjHE%2FYQw8FcJMyir0Lqzet%252BOgibJRs%3D,,Hex Inverters,Audio,DIL14CAP20,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Top Copper
Integrated Circuits,1,U5,74LS21,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS21NE4?qs=sGAEpiMZZMtMa9lbYwD6ZGuuqVaqkGmOS8GB5LKZP7E%3D,,Dual 4-Input Positive-AND Gates,Audio,DIL14CAP20,https://www.mouser.sg/ProductDetail/Mill-Max/110-93-314-41-801000?qs=%2Fha2pyFaduiAoJI%252BFT3Un6AU4u1EPWQWyNo%252BHzE50tJ%252B9XjMyXXSECwGDt8yOlKj,Top Copper
Integrated Circuits,26,"U10,U11,U12,U13,U16,U18,U21,U53,U90,U91,U98,U99,U100,U101,U131,U132,U139,U140,U141,U142,U172,U173,U180,U181,U182,U183",74273,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NE4?qs=sGAEpiMZZMvxP%252Bvr8KwMwF73%2FSEETFlcw32YC66%252Bjxg%3D,S$0.90,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Audio,DIL20CAP20,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Top Copper
Integrated Circuits,20,"U22,U48,U49,U50,U51,U106,U107,U108,U109,U111,U147,U148,U149,U150,U152,U188,U189,U190,U191,U193",7485,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS85N?qs=%2Fha2pyFadujWUs9azztjOlpLCPvFTfozqJRbtmiwunU%3D,,4-Bit Magnitude Comparator,Audio,DIL16CAP20,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Top Copper
Integrated Circuits,3,"U23,U24,U25",74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161AN?qs=sGAEpiMZZMtdY2G%252BSI3N4ULNIy7IUD05%2FJSW%252B139gsI%3D,,Synchronous 4-Bit Binary Counters,Audio,DIL16CAP20,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Top Copper
Integrated Circuits,16,"U27,U33,U34,U35,U84,U86,U87,U88,U126,U127,U128,U129,U167,U168,U169,U170",74273,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273NE4?qs=sGAEpiMZZMvxP%252Bvr8KwMwF73%2FSEETFlcw32YC66%252Bjxg%3D,,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,Audio,DIL20CAP20,https://www.mouser.sg/ProductDetail/Mill-Max/110-43-320-41-801000?qs=RC2ne4458IKe5rHuueYA%2FA%3D%3D,Top Copper
