Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSA2,CONN-DIL34,TOP,90,-130.81,22.86
EXPANSIONBUSC2,CONN-SIL2,TOP,90,-132.04,-5.95
EXPANSIONBUSB2,CONN-DIL8,TOP,90,-130.81,54.61
EXPANSIONBUSP1,09021646921,TOP,-90,-149.228,74.93
VIDEOP1,09021646921,TOP,-90,-149.228,-27.94
DSW2,SW-DIP8,TOP,270,-134.62,105.41
DSW1,SW-DIP8,TOP,270,-134.62,82.55
U17,DIL28CAP20,TOP,270,-109.093,-4.953
U30,DIL24NARCAP20,TOP,270,-95.123,-4.953
U45,DIL20CAP20,TOP,270,-82.423,-10.033
U31,DIL24NARCAP20,TOP,270,-69.723,-4.953
U15,DIL20CAP20,TOP,270,-57.023,-10.033
U74,DIL24NARCAP20,TOP,270,-24.003,-4.953
U72,DIL20CAP20,TOP,270,-46.863,-10.033
U75,DIL24NARCAP20,TOP,270,-13.843,-4.953
U76,DIL20CAP20,TOP,0,-56.007,-31.623
U126,DIL16CAP20,TOP,270,-123.063,89.027
U22,DIL20CAP20,TOP,270,-102.743,-40.513
U24,DIL20CAP20,TOP,270,-92.583,-40.513
U29,DIL20CAP20,TOP,270,-1.143,0.127
U36,DIL20CAP20,TOP,270,9.017,0.127
U69,DIL20CAP20,TOP,270,19.177,0.127
U38,DIL20CAP20,TOP,270,29.337,0.127
U52,DIL20CAP20,TOP,270,-112.903,-40.513
U53,DIL20CAP20,TOP,270,-123.063,-40.513
U54,DIL20CAP20,TOP,270,-102.743,-70.993
U56,DIL20CAP20,TOP,270,-112.903,-70.993
U63,DIL20CAP20,TOP,270,-123.063,-70.993
U77,DIL20CAP20,TOP,270,-92.583,-70.993
U78,DIL20CAP20,TOP,270,-82.423,-70.993
U79,DIL20CAP20,TOP,270,-72.263,-70.993
U80,DIL20CAP20,TOP,270,-62.103,-70.993
U81,DIL20CAP20,TOP,270,-51.943,-70.993
U98,DIL20CAP20,TOP,270,-41.783,-70.993
U100,DIL20CAP20,TOP,270,-31.623,-70.993
U101,DIL20CAP20,TOP,270,-21.463,-70.993
U260,DIL20CAP20,TOP,270,-11.303,-70.993
