Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSA2,CONN-DIL34,TOP,90,-130.81,22.86
EXPANSIONBUSC2,CONN-SIL2,TOP,90,-132.04,-5.95
EXPANSIONBUSB2,CONN-DIL8,TOP,90,-130.81,54.61
EXPANSIONBUSP1,09021646921,TOP,-90,-149.228,74.93
VIDEOP1,09021646921,TOP,-90,-149.228,-27.94
DSW2,SW-DIP8,TOP,270,-134.62,105.41
DSW1,SW-DIP8,TOP,270,-134.62,82.55
DSW3,SW-DIP8,TOP,-90,-123.19,105.41
U17,DIL28CAP20,TOP,270,-109.093,-4.953
U30,DIL24NARCAP20,TOP,270,-95.123,-4.953
U45,DIL20CAP20,TOP,270,-82.423,-10.033
U31,DIL24NARCAP20,TOP,270,-69.723,-4.953
U15,DIL20CAP20,TOP,0,-91.567,-31.623
U74,DIL24NARCAP20,TOP,270,-59.563,-4.953
U72,DIL20CAP20,TOP,0,-91.567,-41.783
U75,DIL24NARCAP20,TOP,270,-49.403,-4.953
U76,DIL20CAP20,TOP,270,-72.263,-40.513
U126,DIL16CAP20,TOP,270,-112.903,53.467
U2,DIL20CAP20,TOP,270,-107.823,96.647
U22,DIL20CAP20,TOP,270,-117.983,-40.513
U24,DIL20CAP20,TOP,270,-128.143,-35.433
U29,DIL20CAP20,TOP,270,-97.663,96.647
U36,DIL20CAP20,TOP,0,-91.567,-51.943
U69,DIL20CAP20,TOP,270,-87.503,96.647
U38,DIL20CAP20,TOP,270,-128.143,-65.913
U39,DIL20CAP20,TOP,180,-106.553,36.703
U52,DIL20CAP20,TOP,270,-77.343,96.647
U53,DIL20CAP20,TOP,270,-67.183,96.647
U54,DIL20CAP20,TOP,270,-57.023,96.647
U56,DIL20CAP20,TOP,270,-46.863,96.647
U63,DIL20CAP20,TOP,270,-36.703,96.647
U77,DIL20CAP20,TOP,270,-26.543,96.647
U78,DIL20CAP20,TOP,270,-36.703,-10.033
U79,DIL20CAP20,TOP,270,-26.543,-10.033
U80,DIL20CAP20,TOP,270,-16.383,96.647
U81,DIL20CAP20,TOP,270,-6.223,96.647
U95,DIL20CAP20,TOP,180,-106.553,26.543
U98,DIL20CAP20,TOP,270,3.937,96.647
