Category,Quantity,References,Value,Stock Code,Description,Group Layer,PCB Package,Supplier,Placed
Resistors,1,R208,200,,Generic resistor symbol,,RES40,,Top Copper
Integrated Circuits,6,"U1,U2,U6,U7,U8,U9",74161,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS161ANSR?qs=SL3LIuy2dWwsUuEVqjx8mw%3D%3D,Synchronous 4-Bit Binary Counters,,SOIC127P780X200-16N-CAP,,Top Copper
Integrated Circuits,4,"U3,U10,U15,U16",74LS374,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS374NSR?qs=SL3LIuy2dWzMmvhoIJ0xRA%3D%3D,Octal D-Type Edge Triggered Flip-Flops with Tristate Outputs,,SOIC127P780X200-20N-CAP,,Top Copper
Integrated Circuits,2,"U5,U14",74LS08,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS08DR?qs=SL3LIuy2dWwzq5fnFo78kw%3D%3D,Quadruple 2-Input Positive-AND Gates,,SOIC127P600X175-14N-CAP,,Top Copper
Integrated Circuits,2,"U11,U13",74LS32,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS32DRE4?qs=SL3LIuy2dWwZDbBdE1wQZA%3D%3D,Quad 2-input positive-OR gates,,SOIC127P600X175-14N-CAP,,Top Copper
Integrated Circuits,2,"U12,U17",74LS04,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS04DBR?qs=yajEpaT76uTkIEJSyxTAVA%3D%3D,Hex Inverters,,SOP65P780X200-14N-CAP,,Top Copper
Integrated Circuits,1,U22,74LS139,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS139ADR?qs=SL3LIuy2dWwpYzaAOf%252BnlA%3D%3D,Dual 2-Line to 4-Line Decoders/Demultiplexers,,SOIC127P600X175-16N-CAP,,Top Copper
Integrated Circuits,3,"U23,U25,U26",74LS273,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS273DW?qs=SL3LIuy2dWyr2VhoVCrbrQ%3D%3D,Octal D-Type Positive-Edge-Triggered Flip-Flops With Clear,,SOIC127P1030X265-20N-CAP,,Top Copper
Integrated Circuits,1,U27,7474,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS74ADR?qs=UG%2F8xqv%2F6WdOEnCo3YslYA%3D%3D,Dual Positive-Edge-Triggered D-Type Flip-Flops With Clear And Preset,,SOIC127P600X175-14N-CAP,,Top Copper
Diodes,1,D204,LED-RED,,Animated LED model (Red),,LED,,Top Copper
Miscellaneous,1,4M,74HC138,https://www.mouser.sg/ProductDetail/Texas-Instruments/SN74LS138D?qs=j01uVdFEFjF4AZiZOH0IvQ%3D%3D,3-Line to 8-Line Decoders/Demultiplexers,,SOIC127P600X175-16N-CAP,https://www.mouser.sg/ProductDetail/Mill-Max/110-13-316-41-801000?qs=WZeyYeqMOWd122xzWNZKKg%3D%3D,Top Copper
Miscellaneous,1,DU20,6264,https://www.mouser.sg/ProductDetail/Alliance-Memory/AS6C6264-55PCN?qs=sGAEpiMZZMt9mBA6nIyysDfDw0vDQxSwL3Jgh6owPVw%3D,64K (8Kx8) Static RAM,,NULL,,Not placed
Miscellaneous,1,DU21,74154,,4-to-16 Line Decoder/Demultiplexer,,NULL,,Not placed
Miscellaneous,1,EXPANSIONBUS,CONN-DIL34,https://www.mouser.sg/ProductDetail/TE-Connectivity/1658525-2?qs=sGAEpiMZZMs%252BGHln7q6pm4Fqf7MuBHLT6rOqfDeotQQ%3D,0.1in pitch DIL connector strip,,CONN-DIL34,,Top Copper
Miscellaneous,1,EXPANSIONBUS2,CONN-SIL2,https://www.mouser.sg/ProductDetail/Harwin/M20-8900805?qs=%2Fha2pyFadujRVQMSBz%252BYoUCy7UbNMVfTNss7gWmWe0o%3D,0.1in pitch SIL connector strip,,CONN-SIL2,,Top Copper
Miscellaneous,1,EXPANSIONBUS3,CONN-DIL8,,0.1in pitch DIL connector strip,,CONN-DIL8,,Top Copper
Miscellaneous,1,OSCCLK,555,,Timer/Oscillator,,DIL08,,Top Copper
Miscellaneous,1,POWER 5V,163-179PH-EX,https://www.mouser.sg/ProductDetail/163-179PH-EX,DC Power Connectors PCB 2.1MM,,163179PHEX,,Top Copper
Miscellaneous,1,USER BUS,TST-107-01-G-D,https://www.mouser.sg/ProductDetail/Samtec/TST-107-01-G-D?qs=FESYatJ8odJB1y56XqI29Q%3D%3D,"14 Position, Shrouded PCB Headers, 0.100&quot; pitch",,TST-107-XX-Y-D,,Top Copper
Miscellaneous,2,"VSMDD1,VSMDD2",VSMDIGITALDATA,,Digital Data Generator (Virtual Instrument),,NULL,,Not placed
