Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSP8,09021646921,TOP,-90,-687.708,133.35
VIDEOP8,09021646921,TOP,-90,-687.708,30.48
PIXEL8,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-657.86,180.34
PIXEL9,SHDRRA10W64P254_2X5_2032X889X927P,TOP,-90,-615.95,157.48
PIXEL10,SHDRRA10W64P254_2X5_2032X889X927P,TOP,-90,-615.95,130.81
PIXEL11,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-633.73,180.34
PIXEL12,SHDRRA10W64P254_2X5_2032X889X927P,TOP,-90,-615.95,95.25
PIXEL13,SHDRRA10W64P254_2X5_2032X889X927P,TOP,-90,-615.95,68.58
BANKSEL7,CONN-SIL2,TOP,180,-675.64,177.8
U440,SOIC127P1030X265-20N-CAP,TOP,180,-638.449,92.486
U441,SOIC127P1030X265-20N-CAP,TOP,180,-651.149,92.486
U442,SOIC127P1030X265-20N-CAP,TOP,180,-663.849,92.486
U443,SOIC127P1030X265-20N-CAP,TOP,90,-660.624,78.3801
U246,SOIC127P600X175-16N-CAP,TOP,270,-645.063,79.8401
U439,SOIC127P600X175-16N-CAP,TOP,180,-673.27,77.373
U421,SOIC127P600X175-16N-CAP,TOP,0,-631.02,138.527
U422,SOIC127P600X175-16N-CAP,TOP,0,-639.91,138.527
U424,SOIC127P600X175-16N-CAP,TOP,90,-638.907,71.2899
U425,SOIC127P600X175-16N-CAP,TOP,90,-638.907,62.3999
U450,SOIC127P600X175-16N-CAP,TOP,270,-636.173,128.1
U451,SOIC127P600X175-16N-CAP,TOP,180,-646.6,125.633
U444,SOIC127P600X175-14N-CAP,TOP,0,-650.055,141.702
U446,SOIC127P600X175-14N-CAP,TOP,0,-655.135,126.462
U448,SOIC127P600X175-14N-CAP,TOP,270,-635.538,149.675
U452,SOIC127P600X175-16N-CAP,TOP,180,-659.3,142.143
U453,SOIC127P600X175-16N-CAP,TOP,0,-664.04,125.827
U445,SOIC127P600X175-14N-CAP,TOP,270,-654.588,154.755
U447,SOIC127P600X175-14N-CAP,TOP,270,-654.588,163.645
U449,SOIC127P600X175-14N-CAP,TOP,180,-664.395,158.018
U455,SOIC127P600X175-14N-CAP,TOP,270,-669.828,139.515
U461,SOIC127P600X175-16N-CAP,TOP,270,-659.033,67.1401
U462,SOIC127P600X175-16N-CAP,TOP,90,-654.147,58.5899
U426,SOIC127P600X175-14N-CAP,TOP,270,-644.428,49.3451
U457,SOIC127P600X175-14N-CAP,TOP,0,-653.865,47.722
U463,SOIC127P600X175-16N-CAP,TOP,0,-665.31,55.977
U460,SOIC127P600X175-14N-CAP,TOP,270,-644.428,40.4551
U464,SOIC127P600X175-16N-CAP,TOP,180,-674.54,55.783
U456,SOIC127P600X175-14N-CAP,TOP,90,-631.922,45.9049
U458,SOIC127P600X175-14N-CAP,TOP,180,-633.915,36.098
U459,SOIC127P600X175-14N-CAP,TOP,270,-644.428,31.5651
U466,SOIC127P600X175-14N-CAP,TOP,180,-674.555,93.248
U469,SOIC127P600X175-16N-CAP,TOP,180,-673.27,158.653
U454,SOIC127P600X175-14N-CAP,TOP,180,-674.555,124.998
U470,SOIC127P600X175-16N-CAP,TOP,180,-635.17,161.193
U465,SOIC127P600X175-14N-CAP,TOP,90,-663.672,45.9049
U423,SOIC127P600X175-14N-CAP,TOP,90,-663.672,37.0149
U467,SOIC127P600X175-14N-CAP,TOP,0,-653.865,35.022
U468,SOIC127P600X175-14N-CAP,TOP,180,-674.555,36.098
U471,SOIC127P600X175-14N-CAP,TOP,270,-664.748,27.7551
U472,SOIC127P600X175-14N-CAP,TOP,180,-654.235,23.398
