Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUSP8,09021646921,TOP,-90,-687.708,133.35
VIDEOP8,09021646921,TOP,-90,-687.708,30.48
PIXEL8,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-657.86,180.34
PIXEL9,SHDRRA10W64P254_2X5_2032X889X927P,TOP,-90,-615.95,157.48
PIXEL10,SHDRRA10W64P254_2X5_2032X889X927P,TOP,-90,-615.95,130.81
PIXEL11,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-633.73,180.34
PIXEL12,SHDRRA10W64P254_2X5_2032X889X927P,TOP,-90,-615.95,95.25
PIXEL13,SHDRRA10W64P254_2X5_2032X889X927P,TOP,-90,-615.95,68.58
BANKSEL7,CONN-SIL2,TOP,180,-675.64,177.8
U440,SOIC127P1030X265-20N-CAP,TOP,180,-635.909,92.486
U441,SOIC127P1030X265-20N-CAP,TOP,180,-648.609,92.486
U442,SOIC127P1030X265-20N-CAP,TOP,180,-661.309,92.486
U443,SOIC127P1030X265-20N-CAP,TOP,180,-661.309,75.976
U475,SOIC127P780X200-20N-CAP,TOP,90,-637.751,162.31
U477,SOIC127P780X200-20N-CAP,TOP,0,-651.759,153.882
U246,SOIC127P600X175-16N-CAP,TOP,0,-671.66,94.077
U439,SOIC127P600X175-16N-CAP,TOP,90,-663.037,157.65
U421,SOIC127P600X175-16N-CAP,TOP,90,-640.177,152.57
U422,SOIC127P600X175-16N-CAP,TOP,0,-636.1,141.067
U424,SOIC127P600X175-16N-CAP,TOP,270,-636.173,79.8401
U425,SOIC127P600X175-16N-CAP,TOP,0,-633.56,68.677
U426,SOIC127P600X175-16N-CAP,TOP,180,-650.41,77.373
U450,SOIC127P600X175-16N-CAP,TOP,180,-645.33,139.603
U451,SOIC127P600X175-16N-CAP,TOP,90,-655.417,141.14
U444,SOIC127P600X175-14N-CAP,TOP,0,-671.645,139.162
U446,SOIC127P600X175-14N-CAP,TOP,270,-655.858,131.895
U448,SOIC127P600X175-14N-CAP,TOP,180,-645.345,126.268
U452,SOIC127P600X175-16N-CAP,TOP,0,-636.1,127.097
U453,SOIC127P600X175-16N-CAP,TOP,90,-655.417,123.36
U445,SOIC127P600X175-14N-CAP,TOP,0,-671.645,125.192
U447,SOIC127P600X175-14N-CAP,TOP,180,-674.555,154.208
U449,SOIC127P600X175-14N-CAP,TOP,0,-671.645,80.742
U455,SOIC127P600X175-14N-CAP,TOP,180,-642.805,64.038
U456,SOIC127P600X175-16N-CAP,TOP,90,-652.877,63.6699
U472,SOIC127P600X175-14N-CAP,TOP,0,-664.025,61.692
U457,SOIC127P600X175-16N-CAP,TOP,180,-673.27,64.673
U466,SOIC127P600X175-14N-CAP,TOP,270,-664.748,34.1051
U470,SOIC127P600X175-14N-CAP,TOP,180,-654.235,33.558
U458,SOIC127P600X175-16N-CAP,TOP,180,-645.33,32.923
U460,SOIC127P600X175-14N-CAP,TOP,180,-636.455,33.558
U465,SOIC127P600X175-14N-CAP,TOP,180,-627.565,33.558
U467,SOIC127P600X175-14N-CAP,TOP,90,-640.812,21.775
U474,SOIC127P600X175-14N-CAP,TOP,90,-653.512,21.775
U462,SOIC127P600X175-16N-CAP,TOP,90,-666.847,25.5699
U459,SOIC127P600X175-14N-CAP,TOP,0,-664.025,14.702
U469,SOIC127P600X175-16N-CAP,TOP,180,-631.36,20.223
U454,SOIC127P600X175-14N-CAP,TOP,90,-640.812,12.885
U423,SOIC127P600X175-14N-CAP,TOP,180,-622.485,19.588
U461,SOIC127P600X175-14N-CAP,TOP,180,-673.285,15.778
U463,SOIC127P600X175-14N-CAP,TOP,270,-672.368,4.89501
U464,SOIC127P600X175-14N-CAP,TOP,90,-653.512,12.885
U468,SOIC127P600X175-14N-CAP,TOP,180,-673.285,-4.542
U479,SOIC127P600X175-14N-CAP,TOP,180,-664.395,-4.542
U471,SOIC127P600X175-14N-CAP,TOP,90,-628.112,9.07499
U473,SOIC127P600X175-14N-CAP,TOP,270,-654.588,3.62501
U476,SOIC127P600X175-14N-CAP,TOP,0,-642.435,2.002
