Part ID,Package,Layer,Rotation,X,Y
BANKSEL1,CONN-SIL2,TOP,-180,-220.98,-96.52
EXPANSIONBUSP3,09021646921,TOP,-90,-233.048,-130.81
VIDEOP3,09021646921,TOP,-90,-233.048,-233.68
PIXEL1,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-201.93,-83.82
U77,DIL24NARCAP20,TOP,-90,-167.513,-124.333
U78,DIL24NARCAP20,TOP,-90,-167.513,-164.973
U79,DIL24NARCAP20,TOP,-90,-197.993,-223.393
7JR,DIL28CAP20,TOP,-90,-163.703,-209.423
7LR,DIL28CAP20,TOP,-90,-145.923,-209.423
7MR,DIL28CAP20,TOP,-90,-163.703,-248.793
7MR2,DIL28CAP20,TOP,-90,-145.923,-248.793
DSW1,SW-DIP8,TOP,270,-218.44,-114.3
OSC2,SQRWIDOSCDIL14,TOP,0,-214.63,-275.59
DSW11,SW-DIP2,TOP,-90,-199.39,-275.59
2F,SOIC127P1030X265-20N-CAP,TOP,90,-184.374,-222.61
U19,SOIC127P1030X265-20N-CAP,TOP,90,-184.374,-235.31
U45,SOIC127P1030X265-20N-CAP,TOP,0,-185.78,-208.056
U53,SOIC127P1030X265-20N-CAP,TOP,90,-184.374,-193.4
U58,SOIC127P1030X265-20N-CAP,TOP,90,-184.374,-248.01
5H,SOIC127P780X200-20N-CAP,TOP,180,-177.55,-165.312
6F,SOIC127P780X200-20N-CAP,TOP,0,-208.53,-233.468
L6E,SOIC127P780X200-20N-CAP,TOP,0,-216.15,-216.958
U281,SOIC127P780X200-20N-CAP,TOP,180,-206.76,-96.7316
U486,SOIC127P780X200-20N-CAP,TOP,180,-206.76,-120.862
1A,SOIC127P600X175-16N-CAP,TOP,180,-197.02,-96.617
1B,SOIC127P600X175-16N-CAP,TOP,270,-203.103,-109.39
1D,SOIC127P600X175-16N-CAP,TOP,180,-207.18,-214.727
2A,SOIC127P600X175-16N-CAP,TOP,0,-189.06,-100.233
2B,SOIC127P600X175-16N-CAP,TOP,0,-196.68,-120.553
