Part ID,Package,Layer,Rotation,X,Y
BANKSEL6,CONN-SIL2,TOP,-180,-675.64,-82.55
EXPANSIONBUSP7,09021646921,TOP,-90,-687.708,-130.81
VIDEOP7,09021646921,TOP,-90,-687.708,-233.68
PIXEL7,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,-656.59,-83.82
DSW8,SW-DIP8,TOP,270,-674.37,-100.33
U222,DIL28CAP20,TOP,-90,-653.923,-177.673
U229,DIL28CAP20,TOP,-90,-636.143,-177.673
U237,DIL28CAP20,TOP,-90,-653.923,-218.313
U291,DIL28CAP20,TOP,-90,-636.143,-218.313
U228,SOIC127P1030X265-20N-CAP,TOP,180,-670.199,-170.404
U236,SOIC127P1030X265-20N-CAP,TOP,180,-670.199,-186.914
U247,SOIC127P1030X265-20N-CAP,TOP,180,-670.199,-203.424
U294,SOIC127P1030X265-20N-CAP,TOP,180,-670.199,-219.934
U395,SOIC127P780X200-20N-CAP,TOP,180,-670.311,-153.882
U382,SOIC127P600X175-16N-CAP,TOP,90,-668.117,-140.8
U401,SOIC127P780X200-20N-CAP,TOP,270,-661.459,-97.5401
U299,SOIC127P600X175-16N-CAP,TOP,90,-657.957,-153.5
U300,SOIC127P600X175-16N-CAP,TOP,90,-668.117,-131.91
U223,SOIC127P600X175-16N-CAP,TOP,0,-657.69,-143.413
U224,SOIC127P600X175-16N-CAP,TOP,0,-648.8,-143.413
U225,SOIC127P600X175-16N-CAP,TOP,90,-643.987,-153.5
U226,SOIC127P600X175-16N-CAP,TOP,0,-657.69,-126.903
U238,SOIC127P600X175-16N-CAP,TOP,0,-648.8,-126.903
U241,SOIC127P600X175-16N-CAP,TOP,270,-638.713,-144.95
U242,SOIC127P600X175-16N-CAP,TOP,90,-637.637,-135.72
U244,SOIC127P600X175-16N-CAP,TOP,270,-669.193,-123.36
U308,SOIC127P600X175-16N-CAP,TOP,0,-646.6,-257.713
U360,SOIC127P600X175-16N-CAP,TOP,90,-644.327,-246.21
U396,SOIC127P600X175-16N-CAP,TOP,270,-638.713,-127.17
U397,SOIC127P600X175-16N-CAP,TOP,180,-638.98,-104.237
U398,SOIC127P600X175-16N-CAP,TOP,270,-636.173,-92.8799
U399,SOIC127P600X175-16N-CAP,TOP,180,-630.09,-104.237
U402,SOIC127P600X175-16N-CAP,TOP,270,-669.193,-232.58
U403,SOIC127P600X175-16N-CAP,TOP,270,-669.193,-241.47
U405,SOIC127P600X175-14N-CAP,TOP,0,-645.315,-271.048
U409,SOIC127P600X175-16N-CAP,TOP,270,-669.193,-114.47
U404,SOIC127P600X175-14N-CAP,TOP,0,-657.675,-112.298
U406,SOIC127P600X175-14N-CAP,TOP,180,-665.665,-250.922
U407,SOIC127P600X175-14N-CAP,TOP,180,-656.775,-244.572
U408,SOIC127P600X175-14N-CAP,TOP,180,-649.155,-112.492
U420,SOIC127P600X175-14N-CAP,TOP,270,-638.078,-118.295
U410,SOIC127P600X175-14N-CAP,TOP,90,-630.652,-153.485
U411,SOIC127P600X175-14N-CAP,TOP,180,-627.565,-120.112
