Part ID,Package,Layer,Rotation,X,Y
BANKSEL5,CONN-SIL2,TOP,-180,181.61,-82.55
EXPANSIONBUSP5,09021646921,TOP,-90,170.812,-130.81
VIDEOP5,09021646921,TOP,-90,170.812,-233.68
PIXEL5,SHDRRA10W64P254_2X5_2032X889X927P,TOP,0,233.68,-83.82
U71,DIL28CAP20,TOP,-90,257.937,-181.483
U136,DIL28CAP20,TOP,-90,278.257,-181.483
U207,DIL28CAP20,TOP,-90,298.577,-181.483
DSW6,SW-DIP8,TOP,270,184.15,-100.33
U149,SOIC127P1030X265-20N-CAP,TOP,270,230.094,-183.79
U208,SOIC127P1030X265-20N-CAP,TOP,270,213.584,-179.98
U243,SOIC127P1030X265-20N-CAP,TOP,270,213.584,-192.68
U96,SOIC127P1030X265-20N-CAP,TOP,180,199.75,-190.724
U97,SOIC127P1030X265-20N-CAP,TOP,0,199.03,-175.036
U104,SOIC127P1030X265-20N-CAP,TOP,180,185.78,-176.754
U105,SOIC127P1030X265-20N-CAP,TOP,90,213.136,-166.73
U116,SOIC127P1030X265-20N-CAP,TOP,270,193.264,-160.93
U117,SOIC127P1030X265-20N-CAP,TOP,270,213.584,-153.31
U124,SOIC127P1030X265-20N-CAP,TOP,270,193.264,-148.23
U125,SOIC127P1030X265-20N-CAP,TOP,0,229.51,-168.686
U139,SOIC127P1030X265-20N-CAP,TOP,0,229.51,-150.906
U140,SOIC127P1030X265-20N-CAP,TOP,0,196.49,-101.376
U141,SOIC127P1030X265-20N-CAP,TOP,0,209.19,-101.376
U142,SOIC127P1030X265-20N-CAP,TOP,270,193.264,-119.02
U157,SOIC127P1030X265-20N-CAP,TOP,270,223.744,-96.1601
U163,SOIC127P1030X265-20N-CAP,TOP,270,223.744,-108.86
U167,SOIC127P1030X265-20N-CAP,TOP,270,223.744,-121.56
U168,SOIC127P1030X265-20N-CAP,TOP,0,209.19,-117.886
U173,SOIC127P1030X265-20N-CAP,TOP,0,239.67,-117.886
U174,SOIC127P1030X265-20N-CAP,TOP,0,239.67,-101.376
U193,SOIC127P1030X265-20N-CAP,TOP,0,211.73,-216.946
U194,SOIC127P1030X265-20N-CAP,TOP,0,224.43,-216.946
U195,SOIC127P1030X265-20N-CAP,TOP,0,224.43,-233.456
U196,SOIC127P1030X265-20N-CAP,TOP,90,209.326,-231.5
U201,SOIC127P1030X265-20N-CAP,TOP,90,209.326,-244.2
U204,SOIC127P1030X265-20N-CAP,TOP,180,198.48,-217.394
U245,SOIC127P1030X265-20N-CAP,TOP,180,185.78,-217.394
U239,SOIC127P600X175-16N-CAP,TOP,270,213.457,-142.41
U240,SOIC127P600X175-16N-CAP,TOP,90,231.043,-194.14
U100,SOIC127P780X200-20N-CAP,TOP,90,208.068,-87.8799
U101,SOIC127P780X200-20N-CAP,TOP,270,190.712,-230.89
U108,SOIC127P780X200-20N-CAP,TOP,270,190.712,-241.05
U109,SOIC127P780X200-20N-CAP,TOP,90,227.118,-246.63
U120,SOIC127P780X200-20N-CAP,TOP,180,312.669,-174.202
U121,SOIC127P780X200-20N-CAP,TOP,90,317.289,-188.21
U128,SOIC127P780X200-20N-CAP,TOP,0,255.021,-150.918
U129,SOIC127P780X200-20N-CAP,TOP,0,265.181,-150.918
U181,SOIC127P780X200-20N-CAP,TOP,0,275.341,-150.918
U184,SOIC127P780X200-20N-CAP,TOP,180,285.999,-153.882
U187,SOIC127P780X200-20N-CAP,TOP,180,296.159,-153.882
U190,SOIC127P780X200-20N-CAP,TOP,0,307.091,-154.728
U438,SOIC127P600X175-14N-CAP,TOP,180,189.045,-191.232
U74,SOIC127P600X175-16N-CAP,TOP,180,234.78,-214.727
U98,SOIC127P600X175-16N-CAP,TOP,90,266.603,-98.8901
U99,SOIC127P600X175-16N-CAP,TOP,270,265.527,-106.85
U102,SOIC127P600X175-16N-CAP,TOP,180,192.87,-268.067
U103,SOIC127P600X175-16N-CAP,TOP,0,202.1,-269.143
U106,SOIC127P600X175-16N-CAP,TOP,180,183.98,-268.067
U107,SOIC127P600X175-16N-CAP,TOP,90,213.263,-266.53
U110,SOIC127P600X175-16N-CAP,TOP,0,223.69,-269.143
U111,SOIC127P600X175-16N-CAP,TOP,180,232.24,-268.067
U112,SOIC127P600X175-16N-CAP,TOP,0,264.33,-118.013
U113,SOIC127P600X175-16N-CAP,TOP,270,274.417,-117.01
