Part ID,Package,Layer,Rotation,X,Y
EXPANSIONBUS,CONN-DIL34,TOP,90,-30.0401,14.96
EXPANSIONBUS2,CONN-SIL2,TOP,90,-31.2699,-13.85
EXPANSIONBUS3,CONN-DIL8,TOP,90,-30.0401,46.7101
USER BUS,TST-107-XX-Y-D,TOP,-180,6.59,-31.1899
POWER 5V,163179PHEX,TOP,-180,33.9499,53.6801
D204,LED,TOP,-90,41.0299,41.23
R208,RES40,TOP,-180,31.1099,42.5
OSCCLK,DIL08,TOP,-90,38.1,-31.75
EXPANSIONBUSPS1,09021642922,BOT,90,-20.32,8.89
U23,SOIC127P1030X265-20N-CAP,TOP,180,5.43999,21.366
U10,SOIC127P780X200-20N-CAP,TOP,180,4.06001,-5.29151
U25,SOIC127P1030X265-20N-CAP,TOP,180,-7.26001,-5.304
U26,SOIC127P1030X265-20N-CAP,TOP,180,-7.26001,21.366
U3,SOIC127P780X200-20N-CAP,TOP,180,14.22,-5.29151
U15,SOIC127P780X200-20N-CAP,TOP,270,-3.59849,7.87001
U16,SOIC127P780X200-20N-CAP,TOP,180,16.76,21.3785
U1,SOIC127P780X200-16N-CAP,TOP,90,12.4885,7.36999
U2,SOIC127P780X200-16N-CAP,TOP,0,23.88,-4.86849
U6,SOIC127P780X200-16N-CAP,TOP,90,26.4584,7.36999
U7,SOIC127P780X200-16N-CAP,TOP,0,26.4201,19.2615
U8,SOIC127P780X200-16N-CAP,TOP,0,37.8501,6.56151
U9,SOIC127P780X200-16N-CAP,TOP,0,37.8501,20.5315
4M,SOIC127P600X175-16N-CAP,TOP,90,35.463,-3.64
U22,SOIC127P600X175-16N-CAP,TOP,90,16.413,33.1899
U13,SOIC127P600X175-14N-CAP,TOP,270,3.272,32.8351
U5,SOIC127P600X175-14N-CAP,TOP,90,34.828,-12.515
U11,SOIC127P600X175-14N-CAP,TOP,270,3.272,40.4551
U12,SOP65P780X200-14N-CAP,TOP,90,-8.10301,36.5699
