Part ID,Package,Layer,Rotation,X,Y
,DIL14CAP20,TOP,0,6.223,29.337
,DIL16CAP20,TOP,0,7.493,3.937
,DIL18CAP20,TOP,0,8.763,-21.463
,DIL20CAP20,TOP,0,10.033,-46.863
,DIL24NARCAP20,TOP,0,12.573,-72.263
,DIL28CAP20,TOP,0,15.113,-109.093
,DIL14CAP20,TOP,90,72.263,6.223
,DIL16CAP20,TOP,90,97.663,7.493
,DIL18CAP20,TOP,90,123.063,8.763
,DIL20CAP20,TOP,90,148.463,10.033
,DIL24NARCAP20,TOP,90,173.863,12.573
,DIL28CAP20,TOP,90,210.693,15.113
,DIL14CAP20,TOP,180,-82.423,21.463
,DIL16CAP20,TOP,180,-83.693,-3.937
,DIL18CAP20,TOP,180,-84.963,-29.337
,DIL20CAP20,TOP,180,-86.233,-54.737
,DIL24NARCAP20,TOP,180,-88.773,-80.137
,DIL28CAP20,TOP,180,-91.313,-109.347
,DIL14CAP20,TOP,270,72.517,-57.023
,DIL16CAP20,TOP,270,97.917,-58.293
,DIL18CAP20,TOP,270,123.317,-59.563
,DIL20CAP20,TOP,270,148.717,-60.833
,DIL24NARCAP20,TOP,270,174.117,-63.373
,DIL28CAP20,TOP,270,210.947,-65.913
,CAP20,TOP,90,-2.54,30.48
,CAP20,TOP,90,-2.54,5.08
,CAP20,TOP,90,-2.54,-20.32
,CAP20,TOP,90,-2.54,-45.72
,CAP20,TOP,90,-2.54,-71.12
,CAP20,TOP,90,-2.54,-104.14
,CAP20,TOP,180,71.12,-2.54
,CAP20,TOP,180,96.52,-2.54
,CAP20,TOP,180,121.92,-2.54
,CAP20,TOP,180,147.32,-2.54
,CAP20,TOP,180,205.74,-2.54
,CAP20,TOP,270,-73.66,20.32
,CAP20,TOP,270,-73.66,-5.08
,CAP20,TOP,270,-73.66,-30.48
,CAP20,TOP,270,-73.66,-55.88
,CAP20,TOP,270,-73.66,-81.28
,CAP20,TOP,270,-73.66,-114.3
,CAP20,TOP,0,73.66,-48.26
,CAP20,TOP,0,99.06,-48.26
,CAP20,TOP,0,124.46,-48.26
,CAP20,TOP,0,149.86,-48.26
,CAP20,TOP,0,175.26,-48.26
,CAP20,TOP,0,215.9,-48.26
,CAP20,TOP,-180,172.72,-2.54
,SOIC127P600X175-14N-CAP,TOP,0,78.925,-231.678
,SOIC127P600X175-16N-CAP,TOP,0,104.31,-232.313
,SOIC127P780X200-16N-CAP,TOP,0,130.56,-232.198
,SOIC127P780X200-20N-CAP,TOP,0,155.96,-233.469
,SOIC127P1030X265-20N-CAP,TOP,0,182.52,-233.456
,SOIC127P1032X265-20-CAPC1005X55N,TOP,0,207.9,-233.386
,SOP65P780X200-14N-CAP,TOP,0,232.15,-229.387
,CAPC1005X55N,TOP,0,81.65,-227.121
,CAPC1005X55N,TOP,0,106.966,-227.121
,CAPC1005X55N,TOP,0,133.935,-226.867
,CAPC1005X55N,TOP,0,159.335,-226.867
,CAPC1005X55N,TOP,0,187.038,-226.867
,CAPC1005X55N,TOP,0,211.247,-226.747
,CAPC1005X55N,TOP,0,234.642,-226.359
,SOIC127P600X175-14N-CAP,TOP,90,3.078,-180.155
,SOIC127P600X175-16N-CAP,TOP,90,3.713,-205.57
,SOIC127P780X200-16N-CAP,TOP,90,3.5985,-232.66
,SOIC127P780X200-20N-CAP,TOP,90,4.8685,-258.06
,SOIC127P1030X265-20N-CAP,TOP,90,4.856,-284.84
,SOIC127P1032X265-20-CAPC1005X55N,TOP,90,4.7857,-310.26
,SOP65P780X200-14N-CAP,TOP,90,0.787,-334.27
,CAPC1005X55N,TOP,90,-1.479,-177.43
,CAPC1005X55N,TOP,90,-1.479,-202.914
,CAPC1005X55N,TOP,90,-1.733,-229.285
,CAPC1005X55N,TOP,90,-1.733,-254.685
,CAPC1005X55N,TOP,90,-1.733,-280.322
,CAPC1005X55N,TOP,90,-1.8534,-306.913
,CAPC1005X55N,TOP,90,-2.241,-331.778
,SOIC127P600X175-14N-CAP,TOP,180,78.555,-174.722
,SOIC127P600X175-16N-CAP,TOP,180,103.97,-174.087
,SOIC127P780X200-16N-CAP,TOP,180,131.06,-174.202
,SOIC127P780X200-20N-CAP,TOP,180,156.46,-172.931
,SOIC127P1030X265-20N-CAP,TOP,180,183.24,-172.944
,SOIC127P1032X265-20-CAPC1005X55N,TOP,180,208.66,-173.014
,SOP65P780X200-14N-CAP,TOP,180,232.67,-177.013
,CAPC1005X55N,TOP,180,75.83,-179.279
,CAPC1005X55N,TOP,180,101.314,-179.279
,CAPC1005X55N,TOP,180,127.685,-179.533
,CAPC1005X55N,TOP,180,153.085,-179.533
,CAPC1005X55N,TOP,180,178.722,-179.533
,CAPC1005X55N,TOP,180,205.313,-179.653
,CAPC1005X55N,TOP,180,230.178,-180.041
,SOIC127P600X175-14N-CAP,TOP,270,-79.278,-180.525
,SOIC127P600X175-16N-CAP,TOP,270,-79.913,-205.91
,SOIC127P780X200-16N-CAP,TOP,270,-79.7985,-233.43
,SOIC127P780X200-20N-CAP,TOP,270,-81.0685,-258.83
,SOIC127P1030X265-20N-CAP,TOP,270,-81.056,-285.39
,SOIC127P1032X265-20-CAPC1005X55N,TOP,270,-80.9857,-310.77
,SOP65P780X200-14N-CAP,TOP,270,-76.987,-335.02
,CAPC1005X55N,TOP,270,-74.721,-183.25
,CAPC1005X55N,TOP,270,-74.721,-208.566
,CAPC1005X55N,TOP,270,-74.467,-236.805
,CAPC1005X55N,TOP,270,-74.467,-262.205
,CAPC1005X55N,TOP,270,-74.467,-289.908
,CAPC1005X55N,TOP,270,-74.3466,-314.117
,CAPC1005X55N,TOP,270,-73.959,-337.512
